rep,bench,arm,ns_per_op,err,probe_off,probe_on
0,SignTransactionECDSA,null,57595.61,0.2,0.2203,0.8703
0,SignTransactionECDSA,always,56829.31,0.1,0.2203,0.8703
0,SignTransactionECDSA,pass,53681.24,0.1,0.2203,0.8703
0,SignTransactionECDSA,passnop,57083.94,0.1,0.2203,0.8703
0,SignTransactionECDSA,baseline2,63029.90,0.0,0.2203,0.8703
0,SignTransactionECDSA,baseline,57038.34,0.2,0.2203,0.8703
1,SignTransactionECDSA,always,52132.57,0.2,0.2189,0.8712
1,SignTransactionECDSA,pass,60558.76,0.2,0.2189,0.8712
1,SignTransactionECDSA,passnop,56760.39,0.1,0.2189,0.8712
1,SignTransactionECDSA,baseline2,58573.23,0.2,0.2189,0.8712
1,SignTransactionECDSA,baseline,51325.30,0.1,0.2189,0.8712
1,SignTransactionECDSA,null,57926.56,0.2,0.2189,0.8712
2,SignTransactionECDSA,pass,59946.24,0.2,0.2184,0.8707
2,SignTransactionECDSA,passnop,51810.77,0.1,0.2184,0.8707
2,SignTransactionECDSA,baseline2,52483.88,0.1,0.2184,0.8707
2,SignTransactionECDSA,baseline,55482.77,0.1,0.2184,0.8707
2,SignTransactionECDSA,null,49450.87,0.1,0.2184,0.8707
2,SignTransactionECDSA,always,57516.55,0.1,0.2184,0.8707
3,SignTransactionECDSA,passnop,54372.56,0.1,0.2190,0.8695
3,SignTransactionECDSA,baseline2,53562.67,0.2,0.2190,0.8695
3,SignTransactionECDSA,baseline,54652.85,0.1,0.2190,0.8695
3,SignTransactionECDSA,null,58903.26,0.1,0.2190,0.8695
3,SignTransactionECDSA,always,52520.99,0.2,0.2190,0.8695
3,SignTransactionECDSA,pass,56429.56,0.1,0.2190,0.8695
4,SignTransactionECDSA,baseline2,51945.43,0.1,0.2191,0.8717
4,SignTransactionECDSA,baseline,55077.59,0.1,0.2191,0.8717
4,SignTransactionECDSA,null,53767.64,0.2,0.2191,0.8717
4,SignTransactionECDSA,always,57699.57,0.1,0.2191,0.8717
4,SignTransactionECDSA,pass,57814.03,0.1,0.2191,0.8717
4,SignTransactionECDSA,passnop,62260.95,0.0,0.2191,0.8717
5,SignTransactionECDSA,baseline,59295.85,0.1,0.2198,0.8707
5,SignTransactionECDSA,null,55476.95,0.1,0.2198,0.8707
5,SignTransactionECDSA,always,55494.58,0.1,0.2198,0.8707
5,SignTransactionECDSA,pass,59941.14,0.1,0.2198,0.8707
5,SignTransactionECDSA,passnop,53013.60,0.2,0.2198,0.8707
5,SignTransactionECDSA,baseline2,60184.10,0.1,0.2198,0.8707
6,SignTransactionECDSA,null,51664.71,0.2,0.2204,0.8695
6,SignTransactionECDSA,always,58830.30,0.1,0.2204,0.8695
6,SignTransactionECDSA,pass,61197.57,0.1,0.2204,0.8695
6,SignTransactionECDSA,passnop,54302.83,0.1,0.2204,0.8695
6,SignTransactionECDSA,baseline2,53990.29,0.2,0.2204,0.8695
6,SignTransactionECDSA,baseline,64062.88,0.2,0.2204,0.8695
7,SignTransactionECDSA,always,55679.74,0.1,0.2206,0.8701
7,SignTransactionECDSA,pass,61902.01,0.1,0.2206,0.8701
7,SignTransactionECDSA,passnop,59570.88,0.2,0.2206,0.8701
7,SignTransactionECDSA,baseline2,54438.70,0.2,0.2206,0.8701
7,SignTransactionECDSA,baseline,54102.62,0.1,0.2206,0.8701
7,SignTransactionECDSA,null,54855.37,0.1,0.2206,0.8701
8,SignTransactionECDSA,pass,58463.08,0.1,0.2182,0.8699
8,SignTransactionECDSA,passnop,55594.05,0.1,0.2182,0.8699
8,SignTransactionECDSA,baseline2,56149.86,0.1,0.2182,0.8699
8,SignTransactionECDSA,baseline,53404.06,0.0,0.2182,0.8699
8,SignTransactionECDSA,null,55789.20,0.2,0.2182,0.8699
8,SignTransactionECDSA,always,53044.61,0.1,0.2182,0.8699
