rep,inputs,arm,ns_per_op,err,probe_off,probe_on
0,1,null,15123009.62,0.5,0.2193,0.8709
0,1,always,15695840.25,0.5,0.2193,0.8709
0,1,pass,15416263.92,0.7,0.2193,0.8709
0,1,passnop,15206007.00,0.3,0.2193,0.8709
0,1,baseline2,15193497.07,0.3,0.2193,0.8709
0,1,pub_base,14735991.07,1.3,0.2193,0.8709
0,1,pub_always,15067291.69,0.5,0.2193,0.8709
0,1,baseline,15069071.43,0.9,0.2193,0.8709
0,4,null,15512442.31,0.7,0.2193,0.8709
0,4,always,16071458.31,0.5,0.2193,0.8709
0,4,pass,15842075.73,1.5,0.2193,0.8709
0,4,passnop,15679576.42,0.7,0.2193,0.8709
0,4,baseline2,15496685.92,0.7,0.2193,0.8709
0,4,pub_base,14558205.60,0.4,0.2193,0.8709
0,4,pub_always,15224830.36,0.8,0.2193,0.8709
0,4,baseline,15464794.64,0.5,0.2193,0.8709
0,10,null,16667362.15,0.9,0.2193,0.8709
0,10,always,17037343.75,1.2,0.2193,0.8709
0,10,pass,16372179.46,0.6,0.2193,0.8709
0,10,passnop,16209326.92,0.3,0.2193,0.8709
0,10,baseline2,16225309.00,0.5,0.2193,0.8709
0,10,pub_base,15158794.64,0.7,0.2193,0.8709
0,10,pub_always,15646099.31,0.4,0.2193,0.8709
0,10,baseline,16884961.83,0.5,0.2193,0.8709
0,25,null,18060731.09,0.4,0.2193,0.8709
0,25,always,19205037.91,0.5,0.2193,0.8709
0,25,pass,18641184.08,1.0,0.2193,0.8709
0,25,passnop,18388895.80,0.4,0.2193,0.8709
0,25,baseline2,18220537.91,0.6,0.2193,0.8709
0,25,pub_base,14702503.23,0.2,0.2193,0.8709
0,25,pub_always,15316850.67,0.3,0.2193,0.8709
0,25,baseline,18456691.70,0.4,0.2193,0.8709
0,50,null,21305338.00,0.7,0.2193,0.8709
0,50,always,22159546.88,0.9,0.2193,0.8709
0,50,pass,21743226.89,0.5,0.2193,0.8709
0,50,passnop,21346004.67,0.1,0.2193,0.8709
0,50,baseline2,21136200.00,0.3,0.2193,0.8709
0,50,pub_base,15074275.69,0.5,0.2193,0.8709
0,50,pub_always,15493947.92,0.6,0.2193,0.8709
0,50,baseline,21290300.00,0.2,0.2193,0.8709
0,100,null,27032392.86,0.2,0.2193,0.8709
0,100,always,28493702.29,0.4,0.2193,0.8709
0,100,pass,28338267.86,0.3,0.2193,0.8709
0,100,passnop,27454654.71,0.4,0.2193,0.8709
0,100,baseline2,27130255.25,0.6,0.2193,0.8709
0,100,pub_base,15229322.92,0.8,0.2193,0.8709
0,100,pub_always,15603759.62,0.7,0.2193,0.8709
0,100,baseline,27837578.12,0.6,0.2193,0.8709
0,200,null,39408900.00,0.4,0.2193,0.8709
0,200,always,40464408.40,0.1,0.2193,0.8709
0,200,pass,41567816.60,0.5,0.2193,0.8709
0,200,passnop,39570325.00,0.6,0.2193,0.8709
0,200,baseline2,39250641.60,0.3,0.2193,0.8709
0,200,pub_base,15346134.62,0.5,0.2193,0.8709
0,200,pub_always,15882722.25,0.6,0.2193,0.8709
0,200,baseline,39286402.83,0.5,0.2193,0.8709
0,400,null,63657847.33,0.3,0.2193,0.8709
0,400,always,65921541.67,0.2,0.2193,0.8709
