rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
0,oracle,3.229844,0.307761,9.5287,10527241102943389473,0.2207,0.8704
0,pass_hoist,3.524785,0.416990,11.8302,10527241102943389473,0.2207,0.8704
0,pass_clone,3.342079,0.317399,9.4970,10527241102943389473,0.2207,0.8704
0,pass_gated,3.450340,0.353942,10.2582,10527241102943389473,0.2207,0.8704
0,pass_clonegated,3.347647,0.314552,9.3962,10527241102943389473,0.2207,0.8704
0,baseline2,3.176716,0.288743,9.0894,10527241102943389473,0.2207,0.8704
0,baseline,3.189580,0.288634,9.0493,10527241102943389473,0.2207,0.8704
0,null,3.157440,0.288593,9.1401,10527241102943389473,0.2207,0.8704
0,always,3.245213,0.307205,9.4664,10527241102943389473,0.2207,0.8704
1,pass_hoist,3.509984,0.417995,11.9087,10527241102943389473,0.2177,0.8700
1,pass_clone,3.340835,0.317013,9.4890,10527241102943389473,0.2177,0.8700
1,pass_gated,3.442547,0.353557,10.2702,10527241102943389473,0.2177,0.8700
1,pass_clonegated,3.340245,0.314071,9.4026,10527241102943389473,0.2177,0.8700
1,baseline2,3.184179,0.288636,9.0647,10527241102943389473,0.2177,0.8700
1,baseline,3.148992,0.288092,9.1487,10527241102943389473,0.2177,0.8700
1,null,3.176420,0.288948,9.0967,10527241102943389473,0.2177,0.8700
1,always,3.251198,0.307922,9.4710,10527241102943389473,0.2177,0.8700
1,oracle,3.229406,0.307912,9.5346,10527241102943389473,0.2177,0.8700
2,pass_clone,3.358890,0.318082,9.4698,10527241102943389473,0.2183,0.8699
2,pass_gated,3.449956,0.354267,10.2687,10527241102943389473,0.2183,0.8699
2,pass_clonegated,3.332568,0.314357,9.4329,10527241102943389473,0.2183,0.8699
2,baseline2,3.167627,0.289131,9.1277,10527241102943389473,0.2183,0.8699
2,baseline,3.142844,0.289043,9.1969,10527241102943389473,0.2183,0.8699
2,null,3.169543,0.288593,9.1052,10527241102943389473,0.2183,0.8699
2,always,3.253674,0.307904,9.4633,10527241102943389473,0.2183,0.8699
2,oracle,3.227158,0.307654,9.5333,10527241102943389473,0.2183,0.8699
2,pass_hoist,3.512725,0.418836,11.9234,10527241102943389473,0.2183,0.8699
3,pass_gated,3.442642,0.354471,10.2965,10527241102943389473,0.2187,0.8702
3,pass_clonegated,3.336113,0.314734,9.4341,10527241102943389473,0.2187,0.8702
3,baseline2,3.173736,0.289081,9.1085,10527241102943389473,0.2187,0.8702
3,baseline,3.162139,0.289342,9.1502,10527241102943389473,0.2187,0.8702
3,null,3.169562,0.289265,9.1264,10527241102943389473,0.2187,0.8702
3,always,3.252615,0.308281,9.4779,10527241102943389473,0.2187,0.8702
3,oracle,3.230854,0.307984,9.5326,10527241102943389473,0.2187,0.8702
3,pass_hoist,3.531454,0.419145,11.8689,10527241102943389473,0.2187,0.8702
3,pass_clone,3.330251,0.317668,9.5389,10527241102943389473,0.2187,0.8702
4,pass_clonegated,3.327762,0.314464,9.4497,10527241102943389473,0.2248,0.8717
4,baseline2,3.150685,0.289181,9.1784,10527241102943389473,0.2248,0.8717
4,baseline,3.166365,0.289103,9.1304,10527241102943389473,0.2248,0.8717
4,null,3.182128,0.289148,9.0866,10527241102943389473,0.2248,0.8717
4,always,3.261336,0.308303,9.4533,10527241102943389473,0.2248,0.8717
4,oracle,3.245772,0.307563,9.4758,10527241102943389473,0.2248,0.8717
4,pass_hoist,3.527973,0.419407,11.8881,10527241102943389473,0.2248,0.8717
4,pass_clone,3.331761,0.317449,9.5280,10527241102943389473,0.2248,0.8717
4,pass_gated,3.524566,0.359001,10.1857,10527241102943389473,0.2248,0.8717
5,baseline2,3.170463,0.289180,9.1211,10527241102943389473,0.2244,0.8700
5,baseline,3.155499,0.289577,9.1769,10527241102943389473,0.2244,0.8700
5,null,3.169881,0.288566,9.1034,10527241102943389473,0.2244,0.8700
5,always,3.234836,0.308084,9.5240,10527241102943389473,0.2244,0.8700
5,oracle,3.234827,0.307613,9.5094,10527241102943389473,0.2244,0.8700
5,pass_hoist,3.533529,0.419728,11.8784,10527241102943389473,0.2244,0.8700
5,pass_clone,3.317797,0.318020,9.5853,10527241102943389473,0.2244,0.8700
5,pass_gated,3.443488,0.354216,10.2865,10527241102943389473,0.2244,0.8700
5,pass_clonegated,3.343315,0.314532,9.4078,10527241102943389473,0.2244,0.8700
6,baseline,3.177976,0.288357,9.0736,10527241102943389473,0.2215,0.8693
6,null,3.156060,0.288716,9.1480,10527241102943389473,0.2215,0.8693
6,always,3.256966,0.308073,9.4589,10527241102943389473,0.2215,0.8693
6,oracle,3.222050,0.308048,9.5606,10527241102943389473,0.2215,0.8693
6,pass_hoist,3.510137,0.419777,11.9590,10527241102943389473,0.2215,0.8693
6,pass_clone,3.341111,0.317460,9.5016,10527241102943389473,0.2215,0.8693
6,pass_gated,3.449074,0.355084,10.2951,10527241102943389473,0.2215,0.8693
6,pass_clonegated,3.342395,0.313974,9.3937,10527241102943389473,0.2215,0.8693
6,baseline2,3.174403,0.289425,9.1175,10527241102943389473,0.2215,0.8693
7,null,3.262079,0.293512,8.9977,10527241102943389473,0.2197,0.8707
