bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
aesni256gcm_decrypt,base,serdit,50,1090.3,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.4
aesni256gcm_decrypt,base,spec,50,1090.3,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.1
aesni256gcm_decrypt,blanket,serdit,50,1182.0,1477.0,0.0,0.0,0.0,0.0,0.0,59100.0,,27.8
aesni256gcm_decrypt,blanket,spec,50,1182.0,1477.0,0.0,0.0,0.0,0.0,0.0,59100.0,,27.6
aesni256gcm_decrypt,fine,serdit,50,1607.0,1495.0,900.0,600.0,300.0,0.0,0.0,75250.0,,30.6
aesni256gcm_decrypt,fine,spec,50,1101.0,1495.0,900.0,600.0,300.0,0.0,0.0,54251.0,,30.2
aesni256gcm_decrypt,finenop,serdit,50,1014.6,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
aesni256gcm_decrypt,finenop,spec,50,1014.6,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0
aesni256gcm_decrypt,taint,serdit,50,1647.0,1492.0,750.0,550.0,200.0,0.0,0.0,78800.0,,27.9
aesni256gcm_decrypt,taint,spec,50,1180.0,1492.0,750.0,550.0,200.0,0.0,0.0,58501.0,,27.4
aesni256gcm_decrypt,taintfn,serdit,50,1692.0,1492.0,750.0,550.0,200.0,0.0,0.0,80700.0,,29.9
aesni256gcm_decrypt,taintfn,spec,50,1215.5,1492.0,750.0,550.0,200.0,0.0,0.0,60225.0,,28.2
aesni256gcm_decrypt,taintfnnop,serdit,50,1096.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0
aesni256gcm_decrypt,taintfnnop,spec,50,1096.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
aesni256gcm_decrypt,taintnop,serdit,50,1090.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.5
aesni256gcm_decrypt,taintnop,spec,50,1090.0,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.0
aesni256gcm_encrypt,base,serdit,50,1219.3,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.7
aesni256gcm_encrypt,base,spec,50,1219.3,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0
aesni256gcm_encrypt,blanket,serdit,50,1221.0,1233.0,0.0,0.0,0.0,0.0,0.0,61050.0,,30.9
aesni256gcm_encrypt,blanket,spec,50,1221.0,1233.0,0.0,0.0,0.0,0.0,0.0,61050.0,,29.9
aesni256gcm_encrypt,fine,serdit,50,1812.8,1261.0,1300.0,850.0,450.0,0.0,0.0,82741.0,,31.4
aesni256gcm_encrypt,fine,spec,50,1225.0,1261.0,1300.0,850.0,450.0,0.0,0.0,60650.0,,31.4
aesni256gcm_encrypt,finenop,serdit,50,1224.1,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.3
aesni256gcm_encrypt,finenop,spec,50,1224.1,1261.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.4
aesni256gcm_encrypt,taint,serdit,50,1573.0,1248.0,750.0,550.0,200.0,0.0,0.0,75300.0,,28.2
aesni256gcm_encrypt,taint,spec,50,1210.0,1248.0,750.0,550.0,200.0,0.0,0.0,60000.0,,31.2
aesni256gcm_encrypt,taintfn,serdit,50,1590.0,1248.0,750.0,550.0,200.0,0.0,0.0,75600.0,,30.2
aesni256gcm_encrypt,taintfn,spec,50,1210.0,1248.0,750.0,550.0,200.0,0.0,0.0,59500.0,,27.9
aesni256gcm_encrypt,taintfnnop,serdit,50,1214.6,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
aesni256gcm_encrypt,taintfnnop,spec,50,1214.6,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,27.9
aesni256gcm_encrypt,taintnop,serdit,50,1206.2,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.3
aesni256gcm_encrypt,taintnop,spec,50,1206.2,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.2
chacha20_poly1305_decrypt,base,serdit,50,2293.6,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.6
chacha20_poly1305_decrypt,base,spec,50,2293.6,5112.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.7
chacha20_poly1305_decrypt,blanket,serdit,50,2366.1,5112.0,0.0,0.0,0.0,0.0,12900.0,118303.0,,33.2
chacha20_poly1305_decrypt,blanket,spec,50,2366.1,5112.0,0.0,0.0,0.0,0.0,12900.0,118303.0,,30.4
chacha20_poly1305_decrypt,fine,serdit,50,4866.2,5252.0,6700.0,4400.0,2300.0,0.0,13100.0,211961.0,,29.9
chacha20_poly1305_decrypt,fine,spec,50,2396.0,5252.0,6700.0,4400.0,2300.0,0.0,12900.0,117751.0,,29.8
chacha20_poly1305_decrypt,finenop,serdit,50,2367.5,5252.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.1
chacha20_poly1305_decrypt,finenop,spec,50,2367.5,5252.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.2
chacha20_poly1305_decrypt,taint,serdit,50,4336.2,5210.0,4900.0,3450.0,1450.0,0.0,13200.0,196012.0,,30.3
chacha20_poly1305_decrypt,taint,spec,50,2352.6,5210.0,4900.0,3450.0,1450.0,0.0,13150.0,116351.0,,32.5
chacha20_poly1305_decrypt,taintfn,serdit,50,4358.2,5210.0,4900.0,3450.0,1450.0,0.0,13000.0,196808.0,,29.5
chacha20_poly1305_decrypt,taintfn,spec,50,2355.5,5210.0,4900.0,3450.0,1450.0,0.0,13200.0,116376.0,,29.4
chacha20_poly1305_decrypt,taintfnnop,serdit,50,2346.2,5210.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5
chacha20_poly1305_decrypt,taintfnnop,spec,50,2346.2,5210.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0
chacha20_poly1305_decrypt,taintnop,serdit,50,2343.1,5210.0,0.0,0.0,0.0,0.0,0.0,0.0,,35.7
chacha20_poly1305_decrypt,taintnop,spec,50,2343.1,5210.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.7
chacha20_poly1305_encrypt,base,serdit,50,2212.1,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.0
chacha20_poly1305_encrypt,base,spec,50,2212.1,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.1
chacha20_poly1305_encrypt,blanket,serdit,50,2248.9,4861.0,0.0,0.0,0.0,0.0,12954.0,112443.0,,29.6
chacha20_poly1305_encrypt,blanket,spec,50,2248.9,4861.0,0.0,0.0,0.0,0.0,12954.0,112443.0,,32.5
chacha20_poly1305_encrypt,fine,serdit,50,4581.3,4993.0,6300.0,4150.0,2150.0,0.0,13350.0,200516.0,,30.6
chacha20_poly1305_encrypt,fine,spec,50,2276.4,4993.0,6300.0,4150.0,2150.0,0.0,13400.0,112119.0,,29.2
chacha20_poly1305_encrypt,finenop,serdit,50,2312.1,4993.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.2
chacha20_poly1305_encrypt,finenop,spec,50,2312.1,4993.0,0.0,0.0,0.0,0.0,0.0,0.0,,36.4
chacha20_poly1305_encrypt,taint,serdit,50,4022.6,4955.0,4700.0,3300.0,1400.0,0.0,13200.0,181179.0,,29.0
chacha20_poly1305_encrypt,taint,spec,50,2205.9,4955.0,4700.0,3300.0,1400.0,0.0,13102.0,108962.0,,28.6
chacha20_poly1305_encrypt,taintfn,serdit,50,4156.4,4955.0,4700.0,3300.0,1400.0,0.0,12900.0,187869.0,,30.1
chacha20_poly1305_encrypt,taintfn,spec,50,2214.6,4955.0,4700.0,3300.0,1400.0,0.0,13069.0,109386.0,,29.6
chacha20_poly1305_encrypt,taintfnnop,serdit,50,2247.6,4955.0,0.0,0.0,0.0,0.0,0.0,0.0,,34.5
chacha20_poly1305_encrypt,taintfnnop,spec,50,2247.6,4955.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
chacha20_poly1305_encrypt,taintnop,serdit,50,2234.2,4955.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.5
chacha20_poly1305_encrypt,taintnop,spec,50,2234.2,4955.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.2
ed25519,base,serdit,20,77799.9,171799.0,0.0,0.0,0.0,0.0,0.0,0.0,,305.4
ed25519,base,spec,20,77799.9,171799.0,0.0,0.0,0.0,0.0,0.0,0.0,,296.5
ed25519,blanket,serdit,20,78813.6,171799.0,0.0,0.0,0.0,0.0,1288125.0,1576271.0,,151.9
ed25519,blanket,spec,20,78830.4,171799.0,0.0,0.0,0.0,0.0,1288083.0,1576609.0,,156.6
ed25519,fine,serdit,20,82671.6,171992.0,3900.0,3060.0,840.0,0.0,1278420.0,1631063.0,,162.0
ed25519,fine,spec,20,78279.7,171992.0,3900.0,3060.0,840.0,0.0,1277365.0,1555334.0,,237.0
ed25519,finenop,serdit,20,79230.8,171992.0,0.0,0.0,0.0,0.0,0.0,0.0,,303.8
ed25519,finenop,spec,20,79230.8,171992.0,0.0,0.0,0.0,0.0,0.0,0.0,,178.7
ed25519,taint,serdit,20,79121.1,171882.0,1700.0,1200.0,500.0,0.0,1282375.0,1565023.0,,249.5
ed25519,taint,spec,20,76716.9,171882.0,1700.0,1200.0,500.0,0.0,1282657.0,1525178.0,,171.9
ed25519,taintfn,serdit,20,78997.7,171877.0,1600.0,1100.0,500.0,0.0,1278807.0,1562174.0,,263.6
ed25519,taintfn,spec,20,77346.1,171877.0,1600.0,1100.0,500.0,0.0,1281915.0,1537184.0,,281.3
ed25519,taintfnnop,serdit,20,77055.9,171877.0,0.0,0.0,0.0,0.0,0.0,0.0,,268.2
ed25519,taintfnnop,spec,20,77055.9,171877.0,0.0,0.0,0.0,0.0,0.0,0.0,,175.4
ed25519,taintnop,serdit,20,75807.5,171882.0,0.0,0.0,0.0,0.0,0.0,0.0,,175.0
ed25519,taintnop,spec,20,75807.5,171882.0,0.0,0.0,0.0,0.0,0.0,0.0,,176.9
