bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_cycles,dit_exit,wall_s
argon2id,base,serdit,1,324607109.0,620576100.0,0.0,0.0,0.0,0.0,0.0,0.0,,11021.2
argon2id,base,spec,1,324607109.0,620576100.0,0.0,0.0,0.0,0.0,0.0,0.0,,10867.2
argon2id,blanket,serdit,1,329432228.0,620576100.0,0.0,0.0,0.0,0.0,89246468.0,329432201.0,,8300.7
argon2id,blanket,spec,1,329081166.0,620576100.0,0.0,0.0,0.0,0.0,89269013.0,329081166.0,,14794.5
argon2id,fine,serdit,1,328145922.0,620576550.0,451.0,302.0,149.0,0.0,88484064.0,328091928.0,,9276.1
argon2id,fine,spec,1,328107525.0,620576550.0,451.0,302.0,149.0,0.0,88501738.0,328057575.0,,9617.3
argon2id,finenop,serdit,1,324560037.0,620576550.0,0.0,0.0,0.0,0.0,0.0,0.0,,13480.6
argon2id,finenop,spec,1,324560037.0,620576550.0,0.0,0.0,0.0,0.0,0.0,0.0,,13488.1
argon2id,taint,serdit,1,330992089.0,620576537.0,438.0,295.0,143.0,0.0,88023741.0,330936802.0,,9403.2
argon2id,taint,spec,1,331217570.0,620576537.0,438.0,295.0,143.0,0.0,88020862.0,331166849.0,,14507.2
argon2id,taintfn,serdit,1,321487874.0,620576538.0,439.0,296.0,143.0,0.0,88108956.0,321432933.0,,13849.8
argon2id,taintfn,spec,1,321860888.0,620576538.0,439.0,296.0,143.0,0.0,88116451.0,321811284.0,,13139.9
argon2id,taintfnnop,serdit,1,318943700.0,620576538.0,0.0,0.0,0.0,0.0,0.0,0.0,,16788.6
argon2id,taintfnnop,spec,1,318943700.0,620576538.0,0.0,0.0,0.0,0.0,0.0,0.0,,10827.4
argon2id,taintnop,serdit,1,326933887.0,620576537.0,0.0,0.0,0.0,0.0,0.0,0.0,,10739.3
argon2id,taintnop,spec,1,326933887.0,620576537.0,0.0,0.0,0.0,0.0,0.0,0.0,,17194.3
