bench,arm,cfg,roi_n,cycles_per_op,insts_per_op,dit_writes,dit_set,dit_clear,dit_read,dit_suppressed,dit_exit,wall_s
chacha20_poly1305_decrypt,base,serdit,50,2269.8,5112.0,0.0,0.0,0.0,0.0,0.0,,28.4
chacha20_poly1305_decrypt,base,spec,50,2269.8,5112.0,0.0,0.0,0.0,0.0,0.0,,29.2
chacha20_poly1305_decrypt,blanket,serdit,50,2366.7,5112.0,0.0,0.0,0.0,0.0,12905.0,,28.7
chacha20_poly1305_decrypt,blanket,spec,50,2366.7,5112.0,0.0,0.0,0.0,0.0,12905.0,,27.9
chacha20_poly1305_decrypt,fine,serdit,50,4866.2,5252.0,6700.0,4400.0,2300.0,0.0,13100.0,,34.0
chacha20_poly1305_decrypt,fine,spec,50,2398.0,5252.0,6700.0,4400.0,2300.0,0.0,12900.0,,32.6
chacha20_poly1305_decrypt,nop,serdit,50,2336.6,5210.0,0.0,0.0,0.0,0.0,0.0,,28.4
chacha20_poly1305_decrypt,nop,spec,50,2336.6,5210.0,0.0,0.0,0.0,0.0,0.0,,33.7
chacha20_poly1305_decrypt,taint,serdit,50,4337.0,5210.0,4900.0,3450.0,1450.0,0.0,13200.0,,29.2
chacha20_poly1305_decrypt,taint,spec,50,2352.8,5210.0,4900.0,3450.0,1450.0,0.0,13150.0,,32.3
chacha20_poly1305_decrypt,taintfn,serdit,50,4359.3,5210.0,4900.0,3450.0,1450.0,0.0,13000.0,,28.4
chacha20_poly1305_decrypt,taintfn,spec,50,2355.3,5210.0,4900.0,3450.0,1450.0,0.0,13200.0,,32.7
chacha20_poly1305_encrypt,base,serdit,50,2226.6,4861.0,0.0,0.0,0.0,0.0,0.0,,34.5
chacha20_poly1305_encrypt,base,spec,50,2226.6,4861.0,0.0,0.0,0.0,0.0,0.0,,34.7
chacha20_poly1305_encrypt,blanket,serdit,50,2249.2,4861.0,0.0,0.0,0.0,0.0,12944.0,,28.4
chacha20_poly1305_encrypt,blanket,spec,50,2249.5,4861.0,0.0,0.0,0.0,0.0,12953.0,,32.6
chacha20_poly1305_encrypt,fine,serdit,50,4584.1,4993.0,6300.0,4150.0,2150.0,0.0,13350.0,,32.3
chacha20_poly1305_encrypt,fine,spec,50,2276.0,4993.0,6300.0,4150.0,2150.0,0.0,13400.0,,32.0
chacha20_poly1305_encrypt,nop,serdit,50,2235.1,4955.0,0.0,0.0,0.0,0.0,0.0,,29.3
chacha20_poly1305_encrypt,nop,spec,50,2235.1,4955.0,0.0,0.0,0.0,0.0,0.0,,28.7
chacha20_poly1305_encrypt,taint,serdit,50,4024.0,4955.0,4700.0,3300.0,1400.0,0.0,13200.0,,28.6
chacha20_poly1305_encrypt,taint,spec,50,2206.6,4955.0,4700.0,3300.0,1400.0,0.0,13006.0,,27.9
chacha20_poly1305_encrypt,taintfn,serdit,50,4157.0,4955.0,4700.0,3300.0,1400.0,0.0,12900.0,,28.5
chacha20_poly1305_encrypt,taintfn,spec,50,2230.0,4955.0,4700.0,3300.0,1400.0,0.0,13033.0,,32.8
ed25519,base,serdit,20,78043.9,171799.0,0.0,0.0,0.0,0.0,0.0,,249.2
ed25519,base,spec,20,78043.9,171799.0,0.0,0.0,0.0,0.0,0.0,,169.5
ed25519,blanket,serdit,20,78064.9,171799.0,0.0,0.0,0.0,0.0,1285173.0,,149.4
ed25519,blanket,spec,20,78379.9,171799.0,0.0,0.0,0.0,0.0,1285925.0,,150.1
ed25519,fine,serdit,20,82573.9,171992.0,3900.0,3060.0,840.0,0.0,1276320.0,,197.1
ed25519,fine,spec,20,78304.2,171992.0,3900.0,3060.0,840.0,0.0,1276534.0,,243.9
ed25519,nop,serdit,20,76815.9,171882.0,0.0,0.0,0.0,0.0,0.0,,241.8
ed25519,nop,spec,20,76815.9,171882.0,0.0,0.0,0.0,0.0,0.0,,267.4
ed25519,taint,serdit,20,79083.7,171882.0,1700.0,1200.0,500.0,0.0,1281558.0,,198.6
ed25519,taint,spec,20,76802.9,171882.0,1700.0,1200.0,500.0,0.0,1282845.0,,202.7
ed25519,taintfn,serdit,20,79265.9,171877.0,1600.0,1100.0,500.0,0.0,1283281.0,,149.1
ed25519,taintfn,spec,20,77477.3,171877.0,1600.0,1100.0,500.0,0.0,1282690.0,,217.6
