rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
0,oracle,3.229178,0.305690,9.4665,10527241102943389473,0.2172,0.8687
0,pass_hoist,3.483904,0.410988,11.7968,10527241102943389473,0.2172,0.8687
0,pass_clone,3.315877,0.315650,9.5194,10527241102943389473,0.2172,0.8687
0,baseline2,3.166761,0.288140,9.0989,10527241102943389473,0.2172,0.8687
0,baseline,3.140055,0.287108,9.1434,10527241102943389473,0.2172,0.8687
0,null,3.150053,0.288422,9.1561,10527241102943389473,0.2172,0.8687
0,always,3.233213,0.306274,9.4727,10527241102943389473,0.2172,0.8687
1,pass_hoist,3.501856,0.411474,11.7502,10527241102943389473,0.2177,0.8718
1,pass_clone,3.294772,0.315663,9.5807,10527241102943389473,0.2177,0.8718
1,baseline2,3.146252,0.287802,9.1475,10527241102943389473,0.2177,0.8718
1,baseline,3.148575,0.287917,9.1443,10527241102943389473,0.2177,0.8718
1,null,3.143166,0.287129,9.1350,10527241102943389473,0.2177,0.8718
1,always,3.215333,0.305910,9.5141,10527241102943389473,0.2177,0.8718
1,oracle,3.207201,0.306125,9.5449,10527241102943389473,0.2177,0.8718
2,pass_clone,3.321043,0.315735,9.5071,10527241102943389473,0.2186,0.8692
2,baseline2,3.156130,0.287443,9.1075,10527241102943389473,0.2186,0.8692
2,baseline,3.157319,0.287132,9.0942,10527241102943389473,0.2186,0.8692
2,null,3.156787,0.287081,9.0941,10527241102943389473,0.2186,0.8692
2,always,3.228271,0.306739,9.5016,10527241102943389473,0.2186,0.8692
2,oracle,3.214621,0.306230,9.5262,10527241102943389473,0.2186,0.8692
2,pass_hoist,3.505238,0.412898,11.7794,10527241102943389473,0.2186,0.8692
3,baseline2,3.131141,0.287207,9.1726,10527241102943389473,0.2181,0.8697
3,baseline,3.147768,0.287966,9.1483,10527241102943389473,0.2181,0.8697
3,null,3.175873,0.288325,9.0786,10527241102943389473,0.2181,0.8697
3,always,3.234714,0.306815,9.4851,10527241102943389473,0.2181,0.8697
3,oracle,3.213696,0.305994,9.5216,10527241102943389473,0.2181,0.8697
3,pass_hoist,3.515203,0.411130,11.6958,10527241102943389473,0.2181,0.8697
3,pass_clone,3.315277,0.315374,9.5128,10527241102943389473,0.2181,0.8697
4,baseline,3.139369,0.287759,9.1661,10527241102943389473,0.2207,0.8693
4,null,3.141636,0.287784,9.1603,10527241102943389473,0.2207,0.8693
4,always,3.233419,0.306149,9.4683,10527241102943389473,0.2207,0.8693
4,oracle,3.212884,0.306622,9.5435,10527241102943389473,0.2207,0.8693
4,pass_hoist,3.488976,0.410815,11.7747,10527241102943389473,0.2207,0.8693
4,pass_clone,3.323452,0.315601,9.4962,10527241102943389473,0.2207,0.8693
4,baseline2,3.144132,0.287625,9.1480,10527241102943389473,0.2207,0.8693
5,null,3.159666,0.287275,9.0919,10527241102943389473,0.2182,0.8695
5,always,3.234894,0.306773,9.4832,10527241102943389473,0.2182,0.8695
5,oracle,3.218421,0.305662,9.4973,10527241102943389473,0.2182,0.8695
5,pass_hoist,3.524603,0.413700,11.7375,10527241102943389473,0.2182,0.8695
5,pass_clone,3.321522,0.315392,9.4954,10527241102943389473,0.2182,0.8695
5,baseline2,3.151927,0.288155,9.1422,10527241102943389473,0.2182,0.8695
5,baseline,3.128391,0.287672,9.1955,10527241102943389473,0.2182,0.8695
6,always,3.239705,0.305658,9.4348,10527241102943389473,0.2179,0.8699
6,oracle,3.204163,0.306112,9.5536,10527241102943389473,0.2179,0.8699
6,pass_hoist,3.484184,0.413121,11.8570,10527241102943389473,0.2179,0.8699
6,pass_clone,3.320254,0.315593,9.5051,10527241102943389473,0.2179,0.8699
6,baseline2,3.145814,0.288248,9.1629,10527241102943389473,0.2179,0.8699
6,baseline,3.147040,0.288895,9.1799,10527241102943389473,0.2179,0.8699
6,null,3.150731,0.287708,9.1315,10527241102943389473,0.2179,0.8699
7,oracle,3.205998,0.306173,9.5500,10527241102943389473,0.2190,0.8703
7,pass_hoist,3.508107,0.411869,11.7405,10527241102943389473,0.2190,0.8703
7,pass_clone,3.309443,0.315300,9.5273,10527241102943389473,0.2190,0.8703
7,baseline2,3.151460,0.287708,9.1294,10527241102943389473,0.2190,0.8703
7,baseline,3.153452,0.287426,9.1146,10527241102943389473,0.2190,0.8703
7,null,3.160561,0.287084,9.0833,10527241102943389473,0.2190,0.8703
7,always,3.244738,0.306934,9.4594,10527241102943389473,0.2190,0.8703
8,pass_hoist,3.493032,0.413917,11.8498,10527241102943389473,0.2202,0.8686
8,pass_clone,3.338100,0.315004,9.4366,10527241102943389473,0.2202,0.8686
8,baseline2,3.141479,0.287739,9.1594,10527241102943389473,0.2202,0.8686
8,baseline,3.166390,0.287681,9.0855,10527241102943389473,0.2202,0.8686
8,null,3.147749,0.287731,9.1408,10527241102943389473,0.2202,0.8686
8,always,3.245424,0.306359,9.4397,10527241102943389473,0.2202,0.8686
8,oracle,3.200228,0.305843,9.5569,10527241102943389473,0.2202,0.8686
9,pass_clone,3.328291,0.315855,9.4900,10527241102943389473,0.2192,0.8694
9,baseline2,3.155961,0.288245,9.1334,10527241102943389473,0.2192,0.8694
9,baseline,3.136908,0.287026,9.1500,10527241102943389473,0.2192,0.8694
9,null,3.147914,0.288073,9.1512,10527241102943389473,0.2192,0.8694
9,always,3.237181,0.306731,9.4752,10527241102943389473,0.2192,0.8694
9,oracle,3.219380,0.305974,9.5041,10527241102943389473,0.2192,0.8694
9,pass_hoist,3.502384,0.412870,11.7883,10527241102943389473,0.2192,0.8694
10,baseline2,3.163155,0.288012,9.1052,10527241102943389473,0.2191,0.8694
