rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
0,oracle,3.169076,0.307285,9.6964,10527241102943389473,0.2174,0.8695
0,pass_hoist,3.521063,0.416515,11.8292,10527241102943389473,0.2174,0.8695
0,pass_relaxed,3.321886,0.352955,10.6251,10527241102943389473,0.2174,0.8695
0,pass_clone,3.324133,0.316551,9.5228,10527241102943389473,0.2174,0.8695
0,pass_clonerelax,3.348965,0.353981,10.5699,10527241102943389473,0.2174,0.8695
0,baseline2,3.168561,0.287945,9.0875,10527241102943389473,0.2174,0.8695
0,baseline,3.157858,0.287910,9.1173,10527241102943389473,0.2174,0.8695
0,null,3.165216,0.287931,9.0967,10527241102943389473,0.2174,0.8695
0,always,3.234883,0.307487,9.5054,10527241102943389473,0.2174,0.8695
1,pass_hoist,3.498843,0.416175,11.8946,10527241102943389473,0.2197,0.8726
1,pass_relaxed,3.329268,0.353032,10.6039,10527241102943389473,0.2197,0.8726
1,pass_clone,3.319634,0.316998,9.5492,10527241102943389473,0.2197,0.8726
1,pass_clonerelax,3.327338,0.353886,10.6357,10527241102943389473,0.2197,0.8726
1,baseline2,3.149948,0.288192,9.1491,10527241102943389473,0.2197,0.8726
1,baseline,3.151715,0.288170,9.1433,10527241102943389473,0.2197,0.8726
1,null,3.174496,0.288370,9.0839,10527241102943389473,0.2197,0.8726
1,always,3.255632,0.308137,9.4647,10527241102943389473,0.2197,0.8726
1,oracle,3.190486,0.306949,9.6208,10527241102943389473,0.2197,0.8726
2,pass_relaxed,3.344550,0.353290,10.5631,10527241102943389473,0.2174,0.8681
2,pass_clone,3.324462,0.316017,9.5058,10527241102943389473,0.2174,0.8681
2,pass_clonerelax,3.330820,0.353512,10.6134,10527241102943389473,0.2174,0.8681
2,baseline2,3.166633,0.288497,9.1105,10527241102943389473,0.2174,0.8681
2,baseline,3.173040,0.287969,9.0755,10527241102943389473,0.2174,0.8681
2,null,3.161601,0.288177,9.1149,10527241102943389473,0.2174,0.8681
2,always,3.235183,0.306709,9.4804,10527241102943389473,0.2174,0.8681
2,oracle,3.172518,0.308268,9.7168,10527241102943389473,0.2174,0.8681
2,pass_hoist,3.501558,0.416022,11.8811,10527241102943389473,0.2174,0.8681
3,pass_clone,3.327079,0.316627,9.5167,10527241102943389473,0.2208,0.8689
3,pass_clonerelax,3.338591,0.354014,10.6037,10527241102943389473,0.2208,0.8689
3,baseline2,3.164849,0.288280,9.1088,10527241102943389473,0.2208,0.8689
3,baseline,3.142146,0.288581,9.1842,10527241102943389473,0.2208,0.8689
3,null,3.184134,0.287864,9.0406,10527241102943389473,0.2208,0.8689
3,always,3.272527,0.307379,9.3927,10527241102943389473,0.2208,0.8689
3,oracle,3.201637,0.307043,9.5902,10527241102943389473,0.2208,0.8689
3,pass_hoist,3.512609,0.416291,11.8513,10527241102943389473,0.2208,0.8689
3,pass_relaxed,3.336666,0.352998,10.5794,10527241102943389473,0.2208,0.8689
4,pass_clonerelax,3.345376,0.353264,10.5598,10527241102943389473,0.2183,0.8699
4,baseline2,3.156617,0.288453,9.1380,10527241102943389473,0.2183,0.8699
4,baseline,3.147579,0.288764,9.1742,10527241102943389473,0.2183,0.8699
4,null,3.151840,0.289128,9.1733,10527241102943389473,0.2183,0.8699
4,always,3.238603,0.307100,9.4825,10527241102943389473,0.2183,0.8699
4,oracle,3.165444,0.307072,9.7007,10527241102943389473,0.2183,0.8699
4,pass_hoist,3.503143,0.416786,11.8975,10527241102943389473,0.2183,0.8699
4,pass_relaxed,3.343529,0.352370,10.5389,10527241102943389473,0.2183,0.8699
4,pass_clone,3.328080,0.316457,9.5087,10527241102943389473,0.2183,0.8699
5,baseline2,3.196908,0.288064,9.0107,10527241102943389473,0.2187,0.8700
5,baseline,3.158228,0.287806,9.1129,10527241102943389473,0.2187,0.8700
5,null,3.168239,0.288062,9.0922,10527241102943389473,0.2187,0.8700
5,always,3.226213,0.307011,9.5161,10527241102943389473,0.2187,0.8700
5,oracle,3.169765,0.308113,9.7204,10527241102943389473,0.2187,0.8700
5,pass_hoist,3.513335,0.416837,11.8644,10527241102943389473,0.2187,0.8700
5,pass_relaxed,3.336352,0.352942,10.5787,10527241102943389473,0.2187,0.8700
