rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
0,oracle,3.202234,0.307655,9.6075,10527241102943389473,0.2196,0.8694
0,pass_region,3.577339,0.426437,11.9205,10527241102943389473,0.2196,0.8694
0,pass_hoist,3.487297,0.416502,11.9434,10527241102943389473,0.2196,0.8694
0,baseline2,3.139323,0.287529,9.1589,10527241102943389473,0.2196,0.8694
0,baseline,3.154750,0.287507,9.1135,10527241102943389473,0.2196,0.8694
0,null,3.174368,0.288226,9.0798,10527241102943389473,0.2196,0.8694
0,always,3.234440,0.307236,9.4989,10527241102943389473,0.2196,0.8694
1,pass_region,3.573044,0.426913,11.9482,10527241102943389473,0.2191,0.8682
1,pass_hoist,3.505896,0.415839,11.8611,10527241102943389473,0.2191,0.8682
1,baseline2,3.147167,0.288412,9.1642,10527241102943389473,0.2191,0.8682
1,baseline,3.148574,0.287981,9.1464,10527241102943389473,0.2191,0.8682
1,null,3.142439,0.288863,9.1923,10527241102943389473,0.2191,0.8682
1,always,3.220103,0.307472,9.5485,10527241102943389473,0.2191,0.8682
1,oracle,3.183115,0.307092,9.6475,10527241102943389473,0.2191,0.8682
2,pass_hoist,3.485941,0.416651,11.9523,10527241102943389473,0.2199,0.8684
2,baseline2,3.175916,0.288083,9.0708,10527241102943389473,0.2199,0.8684
2,baseline,3.154509,0.287598,9.1170,10527241102943389473,0.2199,0.8684
2,null,3.173233,0.288280,9.0847,10527241102943389473,0.2199,0.8684
2,always,3.225912,0.307234,9.5239,10527241102943389473,0.2199,0.8684
2,oracle,3.180720,0.307601,9.6708,10527241102943389473,0.2199,0.8684
2,pass_region,3.557896,0.428280,12.0375,10527241102943389473,0.2199,0.8684
3,baseline2,3.167973,0.288786,9.1158,10527241102943389473,0.2190,0.8689
3,baseline,3.142660,0.288219,9.1712,10527241102943389473,0.2190,0.8689
3,null,3.159475,0.288056,9.1172,10527241102943389473,0.2190,0.8689
3,always,3.239085,0.307358,9.4890,10527241102943389473,0.2190,0.8689
3,oracle,3.181761,0.307820,9.6745,10527241102943389473,0.2190,0.8689
3,pass_region,3.569410,0.427809,11.9854,10527241102943389473,0.2190,0.8689
3,pass_hoist,3.515523,0.415778,11.8269,10527241102943389473,0.2190,0.8689
4,baseline,3.164131,0.288958,9.1323,10527241102943389473,0.2187,0.8689
4,null,3.143686,0.287914,9.1585,10527241102943389473,0.2187,0.8689
4,always,3.230107,0.306825,9.4989,10527241102943389473,0.2187,0.8689
4,oracle,3.190919,0.307864,9.6481,10527241102943389473,0.2187,0.8689
4,pass_region,3.557694,0.427196,12.0077,10527241102943389473,0.2187,0.8689
4,pass_hoist,3.505666,0.416255,11.8738,10527241102943389473,0.2187,0.8689
4,baseline2,3.143294,0.287844,9.1574,10527241102943389473,0.2187,0.8689
5,null,3.156388,0.288355,9.1356,10527241102943389473,0.2214,0.8690
5,always,3.241014,0.307763,9.4959,10527241102943389473,0.2214,0.8690
5,oracle,3.196066,0.307575,9.6235,10527241102943389473,0.2214,0.8690
5,pass_region,3.588241,0.428375,11.9383,10527241102943389473,0.2214,0.8690
5,pass_hoist,3.521237,0.417794,11.8650,10527241102943389473,0.2214,0.8690
5,baseline2,3.143321,0.287759,9.1546,10527241102943389473,0.2214,0.8690
5,baseline,3.155551,0.288515,9.1431,10527241102943389473,0.2214,0.8690
6,always,3.262180,0.307558,9.4280,10527241102943389473,0.2200,0.8700
6,oracle,3.188603,0.307558,9.6455,10527241102943389473,0.2200,0.8700
6,pass_region,3.553426,0.428581,12.0611,10527241102943389473,0.2200,0.8700
6,pass_hoist,3.513843,0.417544,11.8828,10527241102943389473,0.2200,0.8700
6,baseline2,3.155128,0.288069,9.1302,10527241102943389473,0.2200,0.8700
6,baseline,3.179774,0.287865,9.0530,10527241102943389473,0.2200,0.8700
6,null,3.156302,0.288270,9.1332,10527241102943389473,0.2200,0.8700
7,oracle,3.199805,0.307989,9.6252,10527241102943389473,0.2241,0.8694
7,pass_region,3.585449,0.427705,11.9289,10527241102943389473,0.2241,0.8694
7,pass_hoist,3.511572,0.417677,11.8943,10527241102943389473,0.2241,0.8694
7,baseline2,3.151340,0.288480,9.1542,10527241102943389473,0.2241,0.8694
7,baseline,3.144543,0.289012,9.1909,10527241102943389473,0.2241,0.8694
7,null,3.174256,0.288336,9.0836,10527241102943389473,0.2241,0.8694
7,always,3.234628,0.307605,9.5097,10527241102943389473,0.2241,0.8694
8,pass_region,3.567216,0.427564,11.9859,10527241102943389473,0.2178,0.8692
8,pass_hoist,3.511715,0.418007,11.9032,10527241102943389473,0.2178,0.8692
8,baseline2,3.164993,0.288444,9.1136,10527241102943389473,0.2178,0.8692
8,baseline,3.151932,0.288201,9.1436,10527241102943389473,0.2178,0.8692
8,null,3.149742,0.288573,9.1618,10527241102943389473,0.2178,0.8692
8,always,3.232752,0.307175,9.5020,10527241102943389473,0.2178,0.8692
8,oracle,3.172632,0.308749,9.7316,10527241102943389473,0.2178,0.8692
9,pass_hoist,3.489711,0.417368,11.9600,10527241102943389473,0.2220,0.8696
9,baseline2,3.145645,0.288037,9.1567,10527241102943389473,0.2220,0.8696
9,baseline,3.166260,0.288113,9.0995,10527241102943389473,0.2220,0.8696
9,null,3.145429,0.287616,9.1439,10527241102943389473,0.2220,0.8696
9,always,3.237989,0.307496,9.4965,10527241102943389473,0.2220,0.8696
9,oracle,3.182509,0.307836,9.6728,10527241102943389473,0.2220,0.8696
9,pass_region,3.563782,0.427777,12.0035,10527241102943389473,0.2220,0.8696
10,baseline2,3.170627,0.288397,9.0959,10527241102943389473,0.2194,0.8696
10,baseline,3.148066,0.287743,9.1403,10527241102943389473,0.2194,0.8696
10,null,3.177635,0.287887,9.0598,10527241102943389473,0.2194,0.8696
10,always,3.233413,0.307293,9.5037,10527241102943389473,0.2194,0.8696
10,oracle,3.208546,0.307717,9.5905,10527241102943389473,0.2194,0.8696
10,pass_region,3.555362,0.429794,12.0886,10527241102943389473,0.2194,0.8696
10,pass_hoist,3.501705,0.417674,11.9277,10527241102943389473,0.2194,0.8696
11,baseline,3.162558,0.288235,9.1140,10527241102943389473,0.2189,0.8689
11,null,3.163675,0.287691,9.0936,10527241102943389473,0.2189,0.8689
11,always,3.247360,0.307523,9.4699,10527241102943389473,0.2189,0.8689
