rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
0,oracle,3.103755,0.301379,9.7101,10527241102943389473,0.2189,0.8693
0,pass_region,3.462687,0.410356,11.8508,10527241102943389473,0.2189,0.8693
0,pass_hoist,3.427492,0.400282,11.6786,10527241102943389473,0.2189,0.8693
0,baseline2,3.098410,0.283723,9.1571,10527241102943389473,0.2189,0.8693
0,baseline,3.095732,0.283571,9.1601,10527241102943389473,0.2189,0.8693
0,null,3.133764,0.283856,9.0580,10527241102943389473,0.2189,0.8693
0,always,3.195692,0.301441,9.4327,10527241102943389473,0.2189,0.8693
1,pass_region,3.512585,0.411771,11.7227,10527241102943389473,0.2173,0.8684
1,pass_hoist,3.457399,0.400484,11.5834,10527241102943389473,0.2173,0.8684
1,baseline2,3.101007,0.284812,9.1845,10527241102943389473,0.2173,0.8684
1,baseline,3.111493,0.285250,9.1676,10527241102943389473,0.2173,0.8684
1,null,3.108492,0.285416,9.1818,10527241102943389473,0.2173,0.8684
1,always,3.201062,0.302364,9.4457,10527241102943389473,0.2173,0.8684
1,oracle,3.122612,0.303899,9.7322,10527241102943389473,0.2173,0.8684
2,pass_hoist,3.455270,0.401630,11.6237,10527241102943389473,0.2177,0.8695
2,baseline2,3.114543,0.284816,9.1447,10527241102943389473,0.2177,0.8695
2,baseline,3.136454,0.284813,9.0807,10527241102943389473,0.2177,0.8695
2,null,3.114682,0.285193,9.1564,10527241102943389473,0.2177,0.8695
2,always,3.210226,0.303809,9.4638,10527241102943389473,0.2177,0.8695
2,oracle,3.113672,0.303813,9.7574,10527241102943389473,0.2177,0.8695
2,pass_region,3.505211,0.413891,11.8079,10527241102943389473,0.2177,0.8695
3,baseline2,3.106700,0.286058,9.2078,10527241102943389473,0.2181,0.8699
3,baseline,3.150744,0.285507,9.0616,10527241102943389473,0.2181,0.8699
3,null,3.135860,0.285476,9.1036,10527241102943389473,0.2181,0.8699
3,always,3.214774,0.304026,9.4572,10527241102943389473,0.2181,0.8699
3,oracle,3.105407,0.305453,9.8362,10527241102943389473,0.2181,0.8699
3,pass_region,3.507854,0.414335,11.8116,10527241102943389473,0.2181,0.8699
3,pass_hoist,3.572688,0.409807,11.4706,10527241102943389473,0.2181,0.8699
4,baseline,3.129914,0.286305,9.1474,10527241102943389473,0.2182,0.8684
4,null,3.136357,0.286625,9.1388,10527241102943389473,0.2182,0.8684
4,always,3.204661,0.304309,9.4958,10527241102943389473,0.2182,0.8684
4,oracle,3.125837,0.304865,9.7531,10527241102943389473,0.2182,0.8684
4,pass_region,3.531390,0.414214,11.7295,10527241102943389473,0.2182,0.8684
4,pass_hoist,3.484982,0.404548,11.6083,10527241102943389473,0.2182,0.8684
4,baseline2,3.120278,0.285695,9.1561,10527241102943389473,0.2182,0.8684
5,null,3.122491,0.285969,9.1584,10527241102943389473,0.2184,0.8692
5,always,3.209853,0.303810,9.4649,10527241102943389473,0.2184,0.8692
5,oracle,3.153949,0.303948,9.6371,10527241102943389473,0.2184,0.8692
5,pass_region,3.532024,0.415932,11.7760,10527241102943389473,0.2184,0.8692
5,pass_hoist,3.464233,0.404480,11.6759,10527241102943389473,0.2184,0.8692
5,baseline2,3.135298,0.287941,9.1839,10527241102943389473,0.2184,0.8692
5,baseline,3.133050,0.285642,9.1171,10527241102943389473,0.2184,0.8692
6,always,3.221338,0.304621,9.4564,10527241102943389473,0.2186,0.8689
6,oracle,3.136487,0.304568,9.7105,10527241102943389473,0.2186,0.8689
6,pass_region,3.523556,0.415712,11.7981,10527241102943389473,0.2186,0.8689
6,pass_hoist,3.474742,0.404227,11.6333,10527241102943389473,0.2186,0.8689
6,baseline2,3.149370,0.285742,9.0730,10527241102943389473,0.2186,0.8689
6,baseline,3.135271,0.286320,9.1322,10527241102943389473,0.2186,0.8689
