rep,host,bench,arm,seconds
0,cpython,richards,null,2.668938
0,cpython,go,null,2.474631
0,cpython,float,null,2.634544
0,cpython,nbody,null,2.529937
0,cpython,richards,dit,2.904582
0,cpython,go,dit,2.663502
0,cpython,float,dit,2.839979
0,cpython,nbody,dit,2.635153
0,lua,binary_trees,null,1.846337
0,lua,binary_trees,dit,2.452043
0,lua,fannkuch,null,0.672786
0,lua,fannkuch,dit,0.669978
0,lua,spectralnorm,null,1.341374
0,lua,spectralnorm,dit,1.696027
1,cpython,richards,null,2.652350
1,cpython,go,null,2.462796
1,cpython,float,null,2.715250
1,cpython,nbody,null,2.594667
1,cpython,richards,dit,2.929888
1,cpython,go,dit,2.664498
1,cpython,float,dit,2.832814
1,cpython,nbody,dit,2.607667
1,lua,binary_trees,null,1.959477
1,lua,binary_trees,dit,2.236375
1,lua,fannkuch,null,0.648135
1,lua,fannkuch,dit,0.685691
1,lua,spectralnorm,null,1.347042
1,lua,spectralnorm,dit,1.698384
2,cpython,richards,null,2.599380
2,cpython,go,null,2.477207
2,cpython,float,null,2.616105
2,cpython,nbody,null,2.556838
2,cpython,richards,dit,2.934113
2,cpython,go,dit,2.669554
2,cpython,float,dit,2.848455
2,cpython,nbody,dit,2.632580
2,lua,binary_trees,null,1.905136
2,lua,binary_trees,dit,2.230704
2,lua,fannkuch,null,0.661132
2,lua,fannkuch,dit,0.690051
2,lua,spectralnorm,null,1.354805
2,lua,spectralnorm,dit,1.714415
3,cpython,richards,null,2.671399
3,cpython,go,null,2.476821
3,cpython,float,null,2.667248
3,cpython,nbody,null,2.595286
3,cpython,richards,dit,2.935632
3,cpython,go,dit,2.662313
3,cpython,float,dit,2.829667
3,cpython,nbody,dit,2.654275
3,lua,binary_trees,null,1.868887
3,lua,binary_trees,dit,2.202855
3,lua,fannkuch,null,0.653062
3,lua,fannkuch,dit,0.679430
3,lua,spectralnorm,null,1.338686
3,lua,spectralnorm,dit,1.694606
4,cpython,richards,null,2.642990
4,cpython,go,null,2.472320
4,cpython,float,null,2.617822
4,cpython,nbody,null,2.563241
4,cpython,richards,dit,2.950436
4,cpython,go,dit,2.672019
4,cpython,float,dit,2.834217
4,cpython,nbody,dit,2.658729
4,lua,binary_trees,null,1.810529
4,lua,binary_trees,dit,2.068576
4,lua,fannkuch,null,0.658957
4,lua,fannkuch,dit,0.698245
4,lua,spectralnorm,null,1.357824
4,lua,spectralnorm,dit,1.690265
5,cpython,richards,null,2.606255
5,cpython,go,null,2.459503
5,cpython,float,null,2.681023
5,cpython,nbody,null,2.554149
5,cpython,richards,dit,2.917883
5,cpython,go,dit,2.675983
5,cpython,float,dit,2.838212
5,cpython,nbody,dit,2.629670
5,lua,binary_trees,null,1.853119
5,lua,binary_trees,dit,2.166489
5,lua,fannkuch,null,0.656465
5,lua,fannkuch,dit,0.688521
5,lua,spectralnorm,null,1.355904
5,lua,spectralnorm,dit,1.705157
6,cpython,richards,null,2.640321
6,cpython,go,null,2.465263
6,cpython,float,null,2.671651
