arm,dit_model,workload,simInsts,numCycles,ditSuppressed,ditTaggedSet
sign_off,speculative,sign,17851690,6660463,0,0
sign_always,speculative,sign,17851690,6591680,4501420,34431614
sign_oracle,speculative,sign,17851810,6610150,4467904,34429823
sign_base,speculative,sign,17867130,6748212,4640117,33417422
sign_gated,speculative,sign,17856170,6504752,4607971,33603832
sign_fa,speculative,sign,17863970,6594534,4501848,34369378
sign_fagated,speculative,sign,17871690,6476567,4485470,34412796
ver_off,speculative,verify,12611794,4193326,0,0
ver_always,speculative,verify,12611794,4220932,7085999,25794808
ver_base,speculative,verify,12632034,4413078,6164580,22118899
ver_gated,speculative,verify,12611874,4246930,118,3680
ver_fa,speculative,verify,12638834,4372196,7086563,26192415
ver_fagated,speculative,verify,12636434,4381255,6058464,21893891
ssign_oracle,serializing,sign,17851810,6611048,4467738,34424952
ssign_base,serializing,sign,17867130,7060516,4665976,33395043
ssign_gated,serializing,sign,17856170,6619781,4608037,33606400
ssign_fa,serializing,sign,17863970,6939248,4526972,34377435
ssign_fagated,serializing,sign,17871690,6905161,4461707,34335081
sver_off,serializing,verify,12611794,4193326,0,0
sver_always,serializing,verify,12611794,4220932,7085999,25794808
sver_base,serializing,verify,12632034,4674650,6062413,22043433
sver_gated,serializing,verify,12611874,4252916,80,3680
sver_fa,serializing,verify,12638834,4851443,7046230,26070174
sver_fagated,serializing,verify,12636434,4794404,6042126,21811527
