rep,host,arm,total_s,secret_s,toggles,checksum
0,cpython,oracle,3.798552,0.000646,96,WORK cpython checksum 996236
0,cpython,pass_region,3.793866,0.000680,0,WORK cpython checksum 996236
0,cpython,pass_hoist,3.830050,0.000659,0,WORK cpython checksum 996236
0,cpython,pass_function,3.808115,0.000663,0,WORK cpython checksum 996236
0,cpython,baseline2,3.831124,0.000607,0,WORK cpython checksum 996236
0,cpython,baseline,3.823463,0.000615,0,WORK cpython checksum 996236
0,cpython,always,4.217591,0.000635,1,WORK cpython checksum 996236
0,sqlite,oracle,2.899656,0.001821,288,WORK sqlite checksum 43910948
0,sqlite,pass_region,2.890055,0.001883,0,WORK sqlite checksum 43910948
0,sqlite,pass_hoist,2.904179,0.001876,0,WORK sqlite checksum 43910948
0,sqlite,pass_function,2.904072,0.001882,0,WORK sqlite checksum 43910948
0,sqlite,baseline2,2.910167,0.001711,0,WORK sqlite checksum 43910948
0,sqlite,baseline,2.885108,0.001695,0,WORK sqlite checksum 43910948
0,sqlite,always,2.984723,0.001796,1,WORK sqlite checksum 43910948
1,cpython,pass_region,3.802712,0.000665,0,WORK cpython checksum 996236
1,cpython,pass_hoist,3.780621,0.000659,0,WORK cpython checksum 996236
1,cpython,pass_function,3.817829,0.000665,0,WORK cpython checksum 996236
1,cpython,baseline2,3.805237,0.000610,0,WORK cpython checksum 996236
1,cpython,baseline,3.801697,0.000605,0,WORK cpython checksum 996236
1,cpython,always,4.171983,0.000629,1,WORK cpython checksum 996236
1,cpython,oracle,3.879664,0.000736,96,WORK cpython checksum 996236
1,sqlite,pass_region,2.915593,0.001914,0,WORK sqlite checksum 43910948
1,sqlite,pass_hoist,2.893826,0.001895,0,WORK sqlite checksum 43910948
1,sqlite,pass_function,2.899659,0.001892,0,WORK sqlite checksum 43910948
1,sqlite,baseline2,2.918555,0.001789,0,WORK sqlite checksum 43910948
1,sqlite,baseline,2.915689,0.001760,0,WORK sqlite checksum 43910948
1,sqlite,always,3.017396,0.001877,1,WORK sqlite checksum 43910948
1,sqlite,oracle,2.938957,0.001894,288,WORK sqlite checksum 43910948
2,cpython,pass_hoist,3.832514,0.000692,0,WORK cpython checksum 996236
2,cpython,pass_function,3.894726,0.000670,0,WORK cpython checksum 996236
2,cpython,baseline2,3.796300,0.000631,0,WORK cpython checksum 996236
2,cpython,baseline,3.846601,0.000604,0,WORK cpython checksum 996236
2,cpython,always,4.184857,0.000636,1,WORK cpython checksum 996236
2,cpython,oracle,3.808581,0.000632,96,WORK cpython checksum 996236
2,cpython,pass_region,3.825458,0.000663,0,WORK cpython checksum 996236
2,sqlite,pass_hoist,2.911915,0.001896,0,WORK sqlite checksum 43910948
2,sqlite,pass_function,2.914869,0.001895,0,WORK sqlite checksum 43910948
2,sqlite,baseline2,2.900472,0.001731,0,WORK sqlite checksum 43910948
2,sqlite,baseline,2.916988,0.001721,0,WORK sqlite checksum 43910948
2,sqlite,always,2.999967,0.001806,1,WORK sqlite checksum 43910948
2,sqlite,oracle,2.926430,0.001820,288,WORK sqlite checksum 43910948
2,sqlite,pass_region,2.927977,0.001887,0,WORK sqlite checksum 43910948
3,cpython,pass_function,3.841382,0.000700,0,WORK cpython checksum 996236
3,cpython,baseline2,3.856205,0.000612,0,WORK cpython checksum 996236
3,cpython,baseline,3.822210,0.000605,0,WORK cpython checksum 996236
3,cpython,always,4.188310,0.000638,1,WORK cpython checksum 996236
3,cpython,oracle,3.847496,0.000633,96,WORK cpython checksum 996236
3,cpython,pass_region,3.896908,0.000668,0,WORK cpython checksum 996236
3,cpython,pass_hoist,3.802582,0.000670,0,WORK cpython checksum 996236
3,sqlite,pass_function,2.923847,0.001901,0,WORK sqlite checksum 43910948
3,sqlite,baseline2,2.909907,0.001722,0,WORK sqlite checksum 43910948
3,sqlite,baseline,2.945985,0.001712,0,WORK sqlite checksum 43910948
