rep,rate,arm,total_s,secret_s,secret_frac,signs,toggles,checksum
0,every,oracle,3.451611,0.957908,27.7525,40000,80100,WORK django checksum 8000000
0,every,off2,3.410408,0.918518,26.9328,40000,0,WORK django checksum 8000000
0,every,off,3.420775,0.917362,26.8174,40000,0,WORK django checksum 8000000
0,every,always,3.483377,0.946981,27.1857,40000,1,WORK django checksum 8000000
0,1in20,oracle,2.437431,0.057004,2.3387,2000,4006,WORK django checksum 8000000
0,1in20,off2,2.439387,0.054805,2.2467,2000,0,WORK django checksum 8000000
0,1in20,off,2.421558,0.054461,2.2490,2000,0,WORK django checksum 8000000
0,1in20,always,2.463786,0.055723,2.2617,2000,1,WORK django checksum 8000000
1,every,off2,3.416128,0.921666,26.9798,40000,0,WORK django checksum 8000000
1,every,off,3.435317,0.921937,26.8370,40000,0,WORK django checksum 8000000
1,every,always,3.472718,0.945413,27.2240,40000,1,WORK django checksum 8000000
1,every,oracle,3.478828,0.973477,27.9829,40000,80100,WORK django checksum 8000000
1,1in20,off2,2.428026,0.054772,2.2558,2000,0,WORK django checksum 8000000
1,1in20,off,2.454378,0.054580,2.2238,2000,0,WORK django checksum 8000000
1,1in20,always,2.467432,0.055878,2.2646,2000,1,WORK django checksum 8000000
1,1in20,oracle,2.448853,0.056957,2.3259,2000,4006,WORK django checksum 8000000
2,every,off,3.419793,0.922679,26.9806,40000,0,WORK django checksum 8000000
2,every,always,3.492056,0.950556,27.2205,40000,1,WORK django checksum 8000000
2,every,oracle,3.478069,0.969661,27.8793,40000,80100,WORK django checksum 8000000
2,every,off2,3.437880,0.920932,26.7878,40000,0,WORK django checksum 8000000
2,1in20,off,2.445383,0.054559,2.2311,2000,0,WORK django checksum 8000000
2,1in20,always,2.465668,0.055727,2.2601,2000,1,WORK django checksum 8000000
2,1in20,oracle,2.462240,0.057091,2.3187,2000,4006,WORK django checksum 8000000
2,1in20,off2,2.458676,0.055161,2.2435,2000,0,WORK django checksum 8000000
3,every,always,3.516897,0.956290,27.1913,40000,1,WORK django checksum 8000000
3,every,oracle,3.483543,0.969477,27.8302,40000,80100,WORK django checksum 8000000
3,every,off2,3.472132,0.930585,26.8015,40000,0,WORK django checksum 8000000
3,every,off,3.443718,0.926971,26.9177,40000,0,WORK django checksum 8000000
3,1in20,always,2.481022,0.055735,2.2465,2000,1,WORK django checksum 8000000
3,1in20,oracle,2.476856,0.057607,2.3258,2000,4006,WORK django checksum 8000000
3,1in20,off2,2.463181,0.055132,2.2382,2000,0,WORK django checksum 8000000
3,1in20,off,2.450143,0.054644,2.2302,2000,0,WORK django checksum 8000000
4,every,oracle,3.511143,0.974643,27.7586,40000,80100,WORK django checksum 8000000
4,every,off2,3.456669,0.925482,26.7738,40000,0,WORK django checksum 8000000
4,every,off,3.494871,0.935209,26.7595,40000,0,WORK django checksum 8000000
4,every,always,3.484375,0.952528,27.3371,40000,1,WORK django checksum 8000000
4,1in20,oracle,2.446447,0.057076,2.3330,2000,4006,WORK django checksum 8000000
4,1in20,off2,2.457059,0.055077,2.2416,2000,0,WORK django checksum 8000000
4,1in20,off,2.443284,0.054935,2.2484,2000,0,WORK django checksum 8000000
4,1in20,always,2.491010,0.055781,2.2393,2000,1,WORK django checksum 8000000
5,every,off2,3.472021,0.930189,26.7910,40000,0,WORK django checksum 8000000
5,every,off,3.456098,0.931239,26.9448,40000,0,WORK django checksum 8000000
5,every,always,3.501774,0.950431,27.1414,40000,1,WORK django checksum 8000000
5,every,oracle,3.495885,0.977002,27.9472,40000,80100,WORK django checksum 8000000
5,1in20,off2,2.476720,0.055107,2.2250,2000,0,WORK django checksum 8000000
5,1in20,off,2.446087,0.055248,2.2586,2000,0,WORK django checksum 8000000
5,1in20,always,2.503429,0.056325,2.2499,2000,1,WORK django checksum 8000000
5,1in20,oracle,2.478396,0.057422,2.3169,2000,4006,WORK django checksum 8000000
6,every,off,3.597161,0.946194,26.3039,40000,0,WORK django checksum 8000000
6,every,always,3.503319,0.955444,27.2725,40000,1,WORK django checksum 8000000
6,every,oracle,3.674215,0.997567,27.1505,40000,80100,WORK django checksum 8000000
6,every,off2,3.461135,0.938031,27.1018,40000,0,WORK django checksum 8000000
6,1in20,off,2.476417,0.055408,2.2374,2000,0,WORK django checksum 8000000
6,1in20,always,2.487946,0.056184,2.2583,2000,1,WORK django checksum 8000000
6,1in20,oracle,2.478739,0.058091,2.3436,2000,4006,WORK django checksum 8000000
6,1in20,off2,2.448628,0.054817,2.2387,2000,0,WORK django checksum 8000000
7,every,always,3.501099,0.954319,27.2577,40000,1,WORK django checksum 8000000
7,every,oracle,3.531653,0.981200,27.7830,40000,80100,WORK django checksum 8000000
7,every,off2,3.465876,0.933663,26.9387,40000,0,WORK django checksum 8000000
7,every,off,3.481955,0.935111,26.8559,40000,0,WORK django checksum 8000000
7,1in20,always,2.503443,0.056157,2.2432,2000,1,WORK django checksum 8000000
7,1in20,oracle,2.483930,0.057382,2.3101,2000,4006,WORK django checksum 8000000
7,1in20,off2,2.463770,0.055259,2.2429,2000,0,WORK django checksum 8000000
7,1in20,off,2.473427,0.055448,2.2417,2000,0,WORK django checksum 8000000
8,every,oracle,3.513861,0.976708,27.7959,40000,80100,WORK django checksum 8000000
8,every,off2,3.473938,0.933867,26.8821,40000,0,WORK django checksum 8000000
8,every,off,3.458954,0.936310,27.0692,40000,0,WORK django checksum 8000000
8,every,always,3.496069,0.957429,27.3859,40000,1,WORK django checksum 8000000
8,1in20,oracle,2.466679,0.057688,2.3387,2000,4006,WORK django checksum 8000000
8,1in20,off2,2.448793,0.054963,2.2445,2000,0,WORK django checksum 8000000
8,1in20,off,2.492650,0.055635,2.2320,2000,0,WORK django checksum 8000000
8,1in20,always,2.519416,0.056341,2.2363,2000,1,WORK django checksum 8000000
9,every,off2,3.471549,0.935930,26.9600,40000,0,WORK django checksum 8000000
9,every,off,3.491434,0.938624,26.8836,40000,0,WORK django checksum 8000000
9,every,always,3.503725,0.958644,27.3607,40000,1,WORK django checksum 8000000
9,every,oracle,3.521031,0.981061,27.8629,40000,80100,WORK django checksum 8000000
9,1in20,off2,2.458895,0.055046,2.2386,2000,0,WORK django checksum 8000000
9,1in20,off,2.458605,0.054995,2.2368,2000,0,WORK django checksum 8000000
9,1in20,always,2.496658,0.056356,2.2572,2000,1,WORK django checksum 8000000
9,1in20,oracle,2.462269,0.057819,2.3482,2000,4006,WORK django checksum 8000000
10,every,off,3.459383,0.938197,27.1204,40000,0,WORK django checksum 8000000
10,every,always,3.515411,0.958094,27.2541,40000,1,WORK django checksum 8000000
10,every,oracle,3.532793,0.983753,27.8463,40000,80100,WORK django checksum 8000000
10,every,off2,3.473647,0.932274,26.8385,40000,0,WORK django checksum 8000000
10,1in20,off,2.458016,0.055331,2.2511,2000,0,WORK django checksum 8000000
10,1in20,always,2.485055,0.055918,2.2502,2000,1,WORK django checksum 8000000
10,1in20,oracle,2.474829,0.057778,2.3346,2000,4006,WORK django checksum 8000000
10,1in20,off2,2.475612,0.054880,2.2168,2000,0,WORK django checksum 8000000
11,every,always,3.529693,0.964561,27.3271,40000,1,WORK django checksum 8000000
11,every,oracle,3.527640,0.984987,27.9220,40000,80100,WORK django checksum 8000000
11,every,off2,3.491991,0.937980,26.8609,40000,0,WORK django checksum 8000000
11,every,off,3.460404,0.936230,27.0555,40000,0,WORK django checksum 8000000
11,1in20,always,2.482772,0.056037,2.2570,2000,1,WORK django checksum 8000000
11,1in20,oracle,2.483250,0.057572,2.3184,2000,4006,WORK django checksum 8000000
11,1in20,off2,2.464946,0.055093,2.2351,2000,0,WORK django checksum 8000000
11,1in20,off,2.454538,0.054964,2.2393,2000,0,WORK django checksum 8000000
