rep,host,mode,total_s,secret_s,secret_frac,signs,toggles,checksum
0,lua,oracle,2.077223,0.034725,1.6717,2730,5460,WORK binary_trees checksum 29447519 sigacc 126263
0,lua,off2,2.065242,0.032621,1.5795,2730,0,WORK binary_trees checksum 29447519 sigacc 126263
0,lua,off,2.029362,0.032711,1.6119,2730,0,WORK binary_trees checksum 29447519 sigacc 126263
0,lua,always,2.507650,0.034701,1.3838,2730,1,WORK binary_trees checksum 29447519 sigacc 126263
0,sqlite,oracle,3.038541,0.002090,0.0688,144,288,WORK sqlite checksum 43910948
0,sqlite,off2,3.032410,0.001980,0.0653,144,0,WORK sqlite checksum 43910948
0,sqlite,off,3.024151,0.001989,0.0658,144,0,WORK sqlite checksum 43910948
0,sqlite,always,3.117082,0.002091,0.0671,144,1,WORK sqlite checksum 43910948
0,cpython,oracle,3.931016,0.000813,0.0207,48,96,WORK cpython checksum 996236
0,cpython,off2,3.930368,0.000781,0.0199,48,0,WORK cpython checksum 996236
0,cpython,off,3.921992,0.000774,0.0197,48,0,WORK cpython checksum 996236
0,cpython,always,4.294023,0.000805,0.0188,48,1,WORK cpython checksum 996236
0,quickjs,oracle,1.354888,0.005428,0.4006,420,840,WORK quickjs checksum 771432
0,quickjs,off2,1.351158,0.005134,0.3799,420,0,WORK quickjs checksum 771432
0,quickjs,off,1.368827,0.005120,0.3740,420,0,WORK quickjs checksum 771432
0,quickjs,always,1.436311,0.005453,0.3797,420,1,WORK quickjs checksum 771432
1,lua,off2,2.051953,0.032666,1.5920,2730,0,WORK binary_trees checksum 29447519 sigacc 126263
1,lua,off,2.046553,0.032597,1.5928,2730,0,WORK binary_trees checksum 29447519 sigacc 126263
1,lua,always,2.264947,0.034689,1.5315,2730,1,WORK binary_trees checksum 29447519 sigacc 126263
1,lua,oracle,2.058254,0.034762,1.6889,2730,5460,WORK binary_trees checksum 29447519 sigacc 126263
1,sqlite,off2,3.006635,0.001978,0.0658,144,0,WORK sqlite checksum 43910948
1,sqlite,off,3.027491,0.001960,0.0647,144,0,WORK sqlite checksum 43910948
1,sqlite,always,3.126672,0.002095,0.0670,144,1,WORK sqlite checksum 43910948
1,sqlite,oracle,3.042312,0.002056,0.0676,144,288,WORK sqlite checksum 43910948
1,cpython,off2,3.905166,0.000765,0.0196,48,0,WORK cpython checksum 996236
1,cpython,off,3.891793,0.000780,0.0200,48,0,WORK cpython checksum 996236
1,cpython,always,4.291917,0.000813,0.0190,48,1,WORK cpython checksum 996236
1,cpython,oracle,3.907400,0.000811,0.0208,48,96,WORK cpython checksum 996236
1,quickjs,off2,1.355189,0.005102,0.3765,420,0,WORK quickjs checksum 771432
1,quickjs,off,1.358294,0.005119,0.3769,420,0,WORK quickjs checksum 771432
