rep,host,arm,seconds,rc,stdout_tail,probe_const,probe_perm,probe_dit
0,probe,base,0.030898,0,PROBE dit=0 const_ns_per_hop=0.2350 perm_ns_per_hop=0.9384 const_over_perm=0.2505 ck=665,0.2350,0.9384,0
0,probe,null,0.027275,0,PROBE dit=0 const_ns_per_hop=0.2359 perm_ns_per_hop=0.9383 const_over_perm=0.2514 ck=665,0.2359,0.9383,0
0,probe,dit,0.040678,0,PROBE dit=1 const_ns_per_hop=0.9376 perm_ns_per_hop=0.9375 const_over_perm=1.0002 ck=665,0.9376,0.9375,1
0,sqlite,base,4.136237,0,       TOTAL.......................................................    4.117s,,,
0,sqlite,null,4.110895,0,       TOTAL.......................................................    4.095s,,,
0,sqlite,dit,4.340986,0,       TOTAL.......................................................    4.331s,,,
0,lua,base,1.832686,0,LUABENCH binary_trees checksum 29447519,,,
0,lua,null,1.879054,0,LUABENCH binary_trees checksum 29447519,,,
0,lua,dit,2.003508,0,LUABENCH binary_trees checksum 29447519,,,
0,cpython,base,10.480956,0,PYBENCH nbody 2.589645 float,,,
0,cpython,null,10.503541,0,PYBENCH nbody 2.594661 float,,,
0,cpython,dit,11.281264,0,PYBENCH nbody 2.684103 float,,,
0,git,base,2.636537,0,579877,,,
0,git,null,2.411576,0,579877,,,
0,git,dit,2.471884,0,579877,,,
0,quickjs,base,13.385029,0,__total 3558,,,
0,quickjs,null,13.349816,0,__total 3582,,,
0,quickjs,dit,13.316644,0,__total 3383,,,
1,probe,base,0.030629,0,PROBE dit=0 const_ns_per_hop=0.2349 perm_ns_per_hop=0.9385 const_over_perm=0.2503 ck=665,0.2349,0.9385,0
1,probe,null,0.027379,0,PROBE dit=0 const_ns_per_hop=0.2367 perm_ns_per_hop=0.9376 const_over_perm=0.2524 ck=665,0.2367,0.9376,0
1,probe,dit,0.040805,0,PROBE dit=1 const_ns_per_hop=0.9385 perm_ns_per_hop=0.9370 const_over_perm=1.0016 ck=665,0.9385,0.9370,1
1,sqlite,base,4.105741,0,       TOTAL.......................................................    4.086s,,,
1,sqlite,null,4.186495,0,       TOTAL.......................................................    4.175s,,,
1,sqlite,dit,4.465887,0,       TOTAL.......................................................    4.454s,,,
1,lua,base,1.856793,0,LUABENCH binary_trees checksum 29447519,,,
1,lua,null,1.847546,0,LUABENCH binary_trees checksum 29447519,,,
1,lua,dit,2.012914,0,LUABENCH binary_trees checksum 29447519,,,
1,cpython,base,10.746481,0,PYBENCH nbody 2.697712 float,,,
1,cpython,null,10.531987,0,PYBENCH nbody 2.626852 float,,,
1,cpython,dit,11.328642,0,PYBENCH nbody 2.704798 float,,,
1,git,base,2.592557,0,579877,,,
1,git,null,2.390623,0,579877,,,
1,git,dit,2.444010,0,579877,,,
1,quickjs,base,13.306447,0,__total 3645,,,
1,quickjs,null,13.289464,0,__total 3604,,,
1,quickjs,dit,13.450052,0,__total 2948,,,
2,probe,base,0.028909,0,PROBE dit=0 const_ns_per_hop=0.2216 perm_ns_per_hop=0.8800 const_over_perm=0.2518 ck=665,0.2216,0.8800,0
2,probe,null,0.025795,0,PROBE dit=0 const_ns_per_hop=0.2329 perm_ns_per_hop=0.8790 const_over_perm=0.2649 ck=665,0.2329,0.8790,0
2,probe,dit,0.038394,0,PROBE dit=1 const_ns_per_hop=0.8847 perm_ns_per_hop=0.8808 const_over_perm=1.0044 ck=665,0.8847,0.8808,1
2,sqlite,base,4.026335,0,       TOTAL.......................................................    4.014s,,,
2,sqlite,null,4.018198,0,       TOTAL.......................................................    4.007s,,,
2,sqlite,dit,4.263176,0,       TOTAL.......................................................    4.253s,,,
2,lua,base,1.867784,0,LUABENCH binary_trees checksum 29447519,,,
2,lua,null,1.922305,0,LUABENCH binary_trees checksum 29447519,,,
2,lua,dit,2.257811,0,LUABENCH binary_trees checksum 29447519,,,
2,cpython,base,10.363957,0,PYBENCH nbody 2.546584 float,,,
2,cpython,null,10.361471,0,PYBENCH nbody 2.555957 float,,,
2,cpython,dit,11.074545,0,PYBENCH nbody 2.627850 float,,,
2,git,base,2.349014,0,579877,,,
2,git,null,2.362626,0,579877,,,
2,git,dit,2.420494,0,579877,,,
2,quickjs,base,13.310580,0,__total 3583,,,
2,quickjs,null,13.305777,0,__total 3580,,,
2,quickjs,dit,13.447044,0,__total 3360,,,
