rep,arm,dit,ns,checksum
0,inv,0,21732375,8584613699922148283
0,inv,1,21825459,8584613699922148283
0,inv_var,0,15252083,8584613699922148283
0,inv_var,1,15324250,8584613699922148283
0,mul,0,10231625,5227797977677173691
0,mul,1,10273000,5227797977677173691
0,inv_small,0,21657792,17835747444216045878
0,inv_small,1,21626167,17835747444216045878
0,inv_wide,0,21611542,716175243468652111
0,inv_wide,1,21587583,716175243468652111
0,chase_const,0,4349000,2048
0,chase_const,1,17391833,2048
0,chase_perm,0,17374875,665
0,chase_perm,1,17415000,665
1,inv,0,21715583,8584613699922148283
1,inv,1,21755041,8584613699922148283
1,inv_var,0,15233959,8584613699922148283
1,inv_var,1,15281750,8584613699922148283
1,mul,0,10235125,5227797977677173691
1,mul,1,10283208,5227797977677173691
1,inv_small,0,21668917,17835747444216045878
1,inv_small,1,21596583,17835747444216045878
1,inv_wide,0,21610083,716175243468652111
1,inv_wide,1,21613458,716175243468652111
1,chase_const,0,4343291,2048
1,chase_const,1,17435417,2048
1,chase_perm,0,17404667,665
1,chase_perm,1,17425750,665
2,inv,0,21840375,8584613699922148283
2,inv,1,21777750,8584613699922148283
2,inv_var,0,15234500,8584613699922148283
2,inv_var,1,15274250,8584613699922148283
2,mul,0,10253500,5227797977677173691
2,mul,1,10266833,5227797977677173691
2,inv_small,0,21666209,17835747444216045878
2,inv_small,1,21609666,17835747444216045878
2,inv_wide,0,21628375,716175243468652111
2,inv_wide,1,21618000,716175243468652111
2,chase_const,0,4354833,2048
2,chase_const,1,17467958,2048
2,chase_perm,0,17429459,665
2,chase_perm,1,17405750,665
3,inv,0,21731000,8584613699922148283
3,inv,1,21768917,8584613699922148283
3,inv_var,0,15225292,8584613699922148283
3,inv_var,1,15299500,8584613699922148283
3,mul,0,10227750,5227797977677173691
3,mul,1,10289292,5227797977677173691
3,inv_small,0,21618167,17835747444216045878
3,inv_small,1,21604292,17835747444216045878
3,inv_wide,0,21655583,716175243468652111
3,inv_wide,1,21615000,716175243468652111
