rep,arm,dit,ns,checksum
0,inv,0,21725125,8584613699922148283
0,inv,1,21749750,8584613699922148283
0,inv_var,0,15346917,8584613699922148283
0,inv_var,1,15307666,8584613699922148283
0,mul,0,10269333,5227797977677173691
0,mul,1,10277667,5227797977677173691
0,inv_small,0,21600083,17835747444216045878
0,inv_small,1,21579667,17835747444216045878
0,inv_wide,0,21573875,716175243468652111
0,inv_wide,1,21599166,716175243468652111
0,chase_const,0,4360666,2048
0,chase_const,1,17395167,2048
0,chase_perm,0,17394041,665
0,chase_perm,1,17399500,665
1,inv,0,21694125,8584613699922148283
1,inv,1,21753250,8584613699922148283
1,inv_var,0,15239959,8584613699922148283
1,inv_var,1,15293667,8584613699922148283
1,mul,0,10262125,5227797977677173691
1,mul,1,10280083,5227797977677173691
1,inv_small,0,21581750,17835747444216045878
1,inv_small,1,21569250,17835747444216045878
1,inv_wide,0,21573792,716175243468652111
1,inv_wide,1,21598292,716175243468652111
1,chase_const,0,4357209,2048
1,chase_const,1,17402167,2048
1,chase_perm,0,17381958,665
1,chase_perm,1,17387917,665
2,inv,0,21688125,8584613699922148283
2,inv,1,21754250,8584613699922148283
2,inv_var,0,15231625,8584613699922148283
2,inv_var,1,15268208,8584613699922148283
2,mul,0,10229375,5227797977677173691
2,mul,1,10266375,5227797977677173691
2,inv_small,0,21597000,17835747444216045878
2,inv_small,1,21583708,17835747444216045878
2,inv_wide,0,21574125,716175243468652111
2,inv_wide,1,21647000,716175243468652111
2,chase_const,0,4343667,2048
2,chase_const,1,17421084,2048
2,chase_perm,0,17400959,665
2,chase_perm,1,17406709,665
3,inv,0,21713084,8584613699922148283
3,inv,1,21768792,8584613699922148283
3,inv_var,0,15228500,8584613699922148283
3,inv_var,1,15288917,8584613699922148283
3,mul,0,10232250,5227797977677173691
3,mul,1,10304916,5227797977677173691
3,inv_small,0,21571875,17835747444216045878
3,inv_small,1,21624500,17835747444216045878
3,inv_wide,0,21596125,716175243468652111
3,inv_wide,1,21588917,716175243468652111
3,chase_const,0,4355750,2048
3,chase_const,1,17408375,2048
3,chase_perm,0,17384792,665
3,chase_perm,1,17427250,665
4,inv,0,21709375,8584613699922148283
4,inv,1,21786209,8584613699922148283
4,inv_var,0,15249917,8584613699922148283
4,inv_var,1,15281000,8584613699922148283
4,mul,0,10221709,5227797977677173691
4,mul,1,10288083,5227797977677173691
4,inv_small,0,21685458,17835747444216045878
4,inv_small,1,21587375,17835747444216045878
4,inv_wide,0,21593208,716175243468652111
4,inv_wide,1,21583416,716175243468652111
4,chase_const,0,4350917,2048
4,chase_const,1,17406250,2048
4,chase_perm,0,17386458,665
4,chase_perm,1,17402792,665
5,inv,0,21724667,8584613699922148283
5,inv,1,21743125,8584613699922148283
5,inv_var,0,15242833,8584613699922148283
5,inv_var,1,15289458,8584613699922148283
5,mul,0,10212209,5227797977677173691
5,mul,1,10287791,5227797977677173691
5,inv_small,0,21594542,17835747444216045878
5,inv_small,1,21626167,17835747444216045878
5,inv_wide,0,21570167,716175243468652111
5,inv_wide,1,21566667,716175243468652111
5,chase_const,0,4396166,2048
5,chase_const,1,17425458,2048
5,chase_perm,0,17384084,665
5,chase_perm,1,17408959,665
6,inv,0,21726042,8584613699922148283
6,inv,1,21757041,8584613699922148283
6,inv_var,0,15215875,8584613699922148283
6,inv_var,1,15267375,8584613699922148283
6,mul,0,10228250,5227797977677173691
6,mul,1,10312250,5227797977677173691
6,inv_small,0,21584916,17835747444216045878
6,inv_small,1,21562833,17835747444216045878
6,inv_wide,0,21577375,716175243468652111
6,inv_wide,1,21569709,716175243468652111
6,chase_const,0,4340709,2048
6,chase_const,1,17426375,2048
6,chase_perm,0,17412666,665
6,chase_perm,1,17391042,665
7,inv,0,21712167,8584613699922148283
7,inv,1,21770375,8584613699922148283
7,inv_var,0,15255875,8584613699922148283
7,inv_var,1,15288417,8584613699922148283
7,mul,0,10197458,5227797977677173691
7,mul,1,10301250,5227797977677173691
7,inv_small,0,21743959,17835747444216045878
7,inv_small,1,21660667,17835747444216045878
7,inv_wide,0,21567500,716175243468652111
7,inv_wide,1,21585292,716175243468652111
7,chase_const,0,4356250,2048
7,chase_const,1,17410792,2048
7,chase_perm,0,17468875,665
7,chase_perm,1,17412875,665
8,inv,0,21726000,8584613699922148283
8,inv,1,21763208,8584613699922148283
8,inv_var,0,15248959,8584613699922148283
8,inv_var,1,15301459,8584613699922148283
8,mul,0,10242833,5227797977677173691
8,mul,1,10295292,5227797977677173691
8,inv_small,0,21602916,17835747444216045878
8,inv_small,1,21578500,17835747444216045878
8,inv_wide,0,21676334,716175243468652111
8,inv_wide,1,21695916,716175243468652111
8,chase_const,0,4458875,2048
8,chase_const,1,18425792,2048
8,chase_perm,0,17495625,665
8,chase_perm,1,17398125,665
9,inv,0,21699959,8584613699922148283
9,inv,1,21754875,8584613699922148283
9,inv_var,0,15288292,8584613699922148283
9,inv_var,1,15372292,8584613699922148283
9,mul,0,10246750,5227797977677173691
9,mul,1,10297959,5227797977677173691
9,inv_small,0,21561375,17835747444216045878
9,inv_small,1,21577583,17835747444216045878
9,inv_wide,0,21561542,716175243468652111
9,inv_wide,1,21629625,716175243468652111
9,chase_const,0,4354292,2048
9,chase_const,1,17398250,2048
9,chase_perm,0,17392625,665
9,chase_perm,1,17399583,665
10,inv,0,21687333,8584613699922148283
10,inv,1,21796833,8584613699922148283
10,inv_var,0,15248208,8584613699922148283
10,inv_var,1,15266917,8584613699922148283
10,mul,0,10229500,5227797977677173691
10,mul,1,10304750,5227797977677173691
10,inv_small,0,21584959,17835747444216045878
10,inv_small,1,21620583,17835747444216045878
10,inv_wide,0,21611083,716175243468652111
10,inv_wide,1,21597458,716175243468652111
10,chase_const,0,4344791,2048
10,chase_const,1,17397833,2048
10,chase_perm,0,17387625,665
10,chase_perm,1,17393917,665
11,inv,0,21682833,8584613699922148283
11,inv,1,21741209,8584613699922148283
11,inv_var,0,15239542,8584613699922148283
11,inv_var,1,15279834,8584613699922148283
11,mul,0,10229584,5227797977677173691
11,mul,1,10295750,5227797977677173691
11,inv_small,0,21626750,17835747444216045878
11,inv_small,1,21599417,17835747444216045878
11,inv_wide,0,21613417,716175243468652111
11,inv_wide,1,21718833,716175243468652111
11,chase_const,0,4354333,2048
11,chase_const,1,17417042,2048
11,chase_perm,0,17388958,665
11,chase_perm,1,17395125,665
12,inv,0,21710000,8584613699922148283
12,inv,1,21797917,8584613699922148283
12,inv_var,0,15242375,8584613699922148283
12,inv_var,1,15294875,8584613699922148283
12,mul,0,10227250,5227797977677173691
12,mul,1,10296625,5227797977677173691
12,inv_small,0,21586500,17835747444216045878
12,inv_small,1,21647542,17835747444216045878
12,inv_wide,0,21592833,716175243468652111
12,inv_wide,1,21622459,716175243468652111
12,chase_const,0,4345583,2048
12,chase_const,1,17486125,2048
12,chase_perm,0,17376666,665
12,chase_perm,1,17526459,665
13,inv,0,21717667,8584613699922148283
13,inv,1,21777708,8584613699922148283
13,inv_var,0,15230208,8584613699922148283
13,inv_var,1,15274167,8584613699922148283
13,mul,0,10218792,5227797977677173691
13,mul,1,10280041,5227797977677173691
13,inv_small,0,21604208,17835747444216045878
13,inv_small,1,21576084,17835747444216045878
13,inv_wide,0,21564292,716175243468652111
13,inv_wide,1,21586125,716175243468652111
13,chase_const,0,4346084,2048
13,chase_const,1,17413000,2048
13,chase_perm,0,17392750,665
13,chase_perm,1,17433958,665
14,inv,0,21721625,8584613699922148283
14,inv,1,21751166,8584613699922148283
14,inv_var,0,15250458,8584613699922148283
14,inv_var,1,15266500,8584613699922148283
14,mul,0,10211959,5227797977677173691
14,mul,1,10291417,5227797977677173691
14,inv_small,0,21608458,17835747444216045878
14,inv_small,1,21597584,17835747444216045878
14,inv_wide,0,21571417,716175243468652111
14,inv_wide,1,21624583,716175243468652111
14,chase_const,0,4524666,2048
14,chase_const,1,17420250,2048
14,chase_perm,0,17398958,665
14,chase_perm,1,17387833,665
15,inv,0,21714250,8584613699922148283
15,inv,1,21731125,8584613699922148283
15,inv_var,0,15237667,8584613699922148283
15,inv_var,1,15263375,8584613699922148283
15,mul,0,10208709,5227797977677173691
15,mul,1,10270458,5227797977677173691
15,inv_small,0,21612083,17835747444216045878
15,inv_small,1,21579334,17835747444216045878
15,inv_wide,0,21597042,716175243468652111
15,inv_wide,1,21596709,716175243468652111
15,chase_const,0,4353500,2048
15,chase_const,1,17425666,2048
15,chase_perm,0,17603583,665
15,chase_perm,1,17478792,665
16,inv,0,21840625,8584613699922148283
16,inv,1,21759625,8584613699922148283
16,inv_var,0,15415333,8584613699922148283
16,inv_var,1,15301667,8584613699922148283
16,mul,0,10267542,5227797977677173691
16,mul,1,10291583,5227797977677173691
