rep,arm,dit,ns,checksum
0,inv,0,27911125,8584613699922148283
0,inv,1,34343750,8584613699922148283
0,inv_var,0,15233625,8584613699922148283
0,inv_var,1,15609584,8584613699922148283
0,mul,0,10836625,5227797977677173691
0,mul,1,10619584,5227797977677173691
0,inv_small,0,27753667,17835747444216045878
0,inv_small,1,34149709,17835747444216045878
0,inv_wide,0,27745458,716175243468652111
0,inv_wide,1,34187084,716175243468652111
0,chase_const,0,4348167,2048
0,chase_const,1,17393541,2048
0,chase_perm,0,17426000,665
0,chase_perm,1,17413250,665
1,inv,0,27882750,8584613699922148283
1,inv,1,34429459,8584613699922148283
1,inv_var,0,15285917,8584613699922148283
1,inv_var,1,15276000,8584613699922148283
1,mul,0,10232375,5227797977677173691
1,mul,1,10271834,5227797977677173691
1,inv_small,0,27796750,17835747444216045878
1,inv_small,1,34207042,17835747444216045878
1,inv_wide,0,27727500,716175243468652111
1,inv_wide,1,34545833,716175243468652111
1,chase_const,0,4664125,2048
1,chase_const,1,17722375,2048
1,chase_perm,0,17491791,665
1,chase_perm,1,17367583,665
2,inv,0,27886875,8584613699922148283
2,inv,1,34348917,8584613699922148283
2,inv_var,0,15244042,8584613699922148283
2,inv_var,1,15305166,8584613699922148283
2,mul,0,10228625,5227797977677173691
2,mul,1,10299208,5227797977677173691
2,inv_small,0,27714000,17835747444216045878
2,inv_small,1,34168042,17835747444216045878
2,inv_wide,0,27988667,716175243468652111
2,inv_wide,1,34174791,716175243468652111
2,chase_const,0,4358459,2048
2,chase_const,1,17395416,2048
2,chase_perm,0,17379750,665
2,chase_perm,1,17504166,665
3,inv,0,27996041,8584613699922148283
3,inv,1,34368417,8584613699922148283
3,inv_var,0,15245958,8584613699922148283
3,inv_var,1,15327250,8584613699922148283
3,mul,0,10233125,5227797977677173691
3,mul,1,10295250,5227797977677173691
3,inv_small,0,27748667,17835747444216045878
3,inv_small,1,34145917,17835747444216045878
3,inv_wide,0,27756875,716175243468652111
3,inv_wide,1,34203500,716175243468652111
3,chase_const,0,4359084,2048
3,chase_const,1,17420083,2048
3,chase_perm,0,17398792,665
3,chase_perm,1,17400208,665
4,inv,0,27895792,8584613699922148283
4,inv,1,34444917,8584613699922148283
4,inv_var,0,15256167,8584613699922148283
4,inv_var,1,15282917,8584613699922148283
4,mul,0,10240958,5227797977677173691
4,mul,1,10303917,5227797977677173691
4,inv_small,0,27794875,17835747444216045878
4,inv_small,1,34213125,17835747444216045878
4,inv_wide,0,27737208,716175243468652111
4,inv_wide,1,34151750,716175243468652111
4,chase_const,0,4357000,2048
4,chase_const,1,17394917,2048
4,chase_perm,0,17420209,665
4,chase_perm,1,17399166,665
5,inv,0,27874334,8584613699922148283
5,inv,1,34370125,8584613699922148283
5,inv_var,0,15237167,8584613699922148283
5,inv_var,1,15280250,8584613699922148283
5,mul,0,10229000,5227797977677173691
5,mul,1,10271458,5227797977677173691
5,inv_small,0,27707417,17835747444216045878
5,inv_small,1,34138750,17835747444216045878
5,inv_wide,0,27734209,716175243468652111
5,inv_wide,1,34355042,716175243468652111
5,chase_const,0,4676958,2048
5,chase_const,1,18527084,2048
5,chase_perm,0,17954166,665
5,chase_perm,1,17396042,665
6,inv,0,28044417,8584613699922148283
6,inv,1,34400250,8584613699922148283
6,inv_var,0,15248708,8584613699922148283
6,inv_var,1,15285375,8584613699922148283
6,mul,0,10222625,5227797977677173691
6,mul,1,10280417,5227797977677173691
6,inv_small,0,27930125,17835747444216045878
6,inv_small,1,34180792,17835747444216045878
6,inv_wide,0,28383166,716175243468652111
6,inv_wide,1,34187458,716175243468652111
6,chase_const,0,4343541,2048
6,chase_const,1,17409125,2048
6,chase_perm,0,17393209,665
6,chase_perm,1,17402459,665
7,inv,0,27872291,8584613699922148283
7,inv,1,34364791,8584613699922148283
7,inv_var,0,15284708,8584613699922148283
7,inv_var,1,15321500,8584613699922148283
7,mul,0,10253542,5227797977677173691
7,mul,1,10287625,5227797977677173691
7,inv_small,0,27731084,17835747444216045878
7,inv_small,1,34206500,17835747444216045878
7,inv_wide,0,27749625,716175243468652111
7,inv_wide,1,35061334,716175243468652111
7,chase_const,0,4399250,2048
7,chase_const,1,17496750,2048
7,chase_perm,0,17438458,665
7,chase_perm,1,17403000,665
8,inv,0,27892583,8584613699922148283
8,inv,1,34383584,8584613699922148283
8,inv_var,0,15304291,8584613699922148283
8,inv_var,1,15287709,8584613699922148283
8,mul,0,10230083,5227797977677173691
8,mul,1,10320708,5227797977677173691
8,inv_small,0,27737083,17835747444216045878
8,inv_small,1,34159750,17835747444216045878
8,inv_wide,0,27728459,716175243468652111
8,inv_wide,1,34341834,716175243468652111
8,chase_const,0,4354417,2048
8,chase_const,1,17376000,2048
8,chase_perm,0,17407333,665
8,chase_perm,1,17365208,665
9,inv,0,27877417,8584613699922148283
9,inv,1,34364458,8584613699922148283
9,inv_var,0,15241250,8584613699922148283
9,inv_var,1,15285584,8584613699922148283
9,mul,0,10235625,5227797977677173691
9,mul,1,10307500,5227797977677173691
9,inv_small,0,28013125,17835747444216045878
9,inv_small,1,34192709,17835747444216045878
9,inv_wide,0,27750625,716175243468652111
9,inv_wide,1,34210958,716175243468652111
9,chase_const,0,4345750,2048
